Year,State,Food-at-home sales with taxes and tips (millions of nominal U.S. dollars),Food-away-from-home sales with taxes and tips (millions of nominal U.S. dollars),Total food sales with taxes and tips (millions of nominal U.S. dollars),Food-at-home sales with taxes and tips (millions of constant U.S. dollars (1988=100)),Food-away-from-home sales with taxes and tips (millions of constant U.S. dollars (1988=100)),Total food sales with taxes and tips (millions of constant U.S. dollars (1988=100))
2005,Alaska,"1,591.82","1,222.72","2,814.54",929.69,767.32,"1,697.01"
2006,Alaska,"1,664.97","1,290.37","2,955.34",960.84,786.7,"1,747.54"
2007,Alaska,"1,753.72","1,354.88","3,108.60",966.55,797.45,"1,764.00"
2008,Alaska,"1,827.78","1,387.19","3,214.97",948.83,786.54,"1,735.37"
2009,Alaska,"1,814.36","1,375.88","3,190.24",948.77,756.56,"1,705.33"
2010,Alaska,"1,874.77","1,417.73","3,292.50",986.28,770.53,"1,756.81"
2011,Alaska,"1,906.57","1,508.63","3,415.20",956.28,801.93,"1,758.21"
2012,Alaska,"1,929.92","1,584.44","3,514.36",950.84,817.23,"1,768.07"
2013,Alaska,"1,985.90","1,644.35","3,630.25",969.74,830.63,"1,800.37"
2014,Alaska,"2,055.78","1,733.05","3,788.83",976.6,854.33,"1,830.93"
2015,Alaska,"2,085.28","1,889.24","3,974.52",974.28,905.3,"1,879.58"
2016,Alaska,"2,082.99","1,974.86","4,057.85",984.51,916.26,"1,900.77"
2017,Alaska,"2,327.34","2,055.07","4,382.41","1,103.42",923.21,"2,026.63"
2018,Alaska,"2,346.90","2,125.83","4,472.73","1,107.85",923.54,"2,031.39"
2019,Alaska,"2,401.21","2,207.47","4,608.68","1,116.47",926.08,"2,042.55"
2020,Alaska,"2,470.98","1,906.10","4,377.08","1,104.85",764.62,"1,869.47"
2021,Alaska,"2,562.83","2,368.84","4,931.67","1,098.03",906.07,"2,004.10"
2022,Alaska,"2,819.43","2,694.84","5,514.27","1,084.31",960.77,"2,045.08"
2023,Alaska,"2,817.12","2,863.51","5,680.63","1,035.50",950.11,"1,985.61"
2024,Alaska,"2,822.87","2,962.38","5,785.25","1,023.30",939.48,"1,962.78"
1997,Arizona,"6,201.20","5,375.87","11,577.07","4,433.78","4,195.63","8,629.41"
1998,Arizona,"6,569.57","5,768.37","12,337.94","4,557.20","4,384.84","8,942.04"
1999,Arizona,"7,196.85","6,129.37","13,326.22","4,893.18","4,560.86","9,454.04"
2000,Arizona,"7,655.73","6,698.24","14,353.97","5,100.90","4,875.14","9,976.04"
2001,Arizona,"7,978.27","6,963.93","14,942.20","5,102.58","4,913.30","10,015.88"
2002,Arizona,"8,290.63","7,388.57","15,679.20","5,205.12","5,046.47","10,251.59"
2003,Arizona,"9,232.94","7,826.37","17,059.31","5,644.51","5,243.85","10,888.36"
2004,Arizona,"10,388.34","8,522.78","18,911.12","6,122.54","5,540.04","11,662.58"
2005,Arizona,"11,902.86","9,328.12","21,230.98","6,951.79","5,853.90","12,805.69"
2006,Arizona,"13,046.77","10,116.61","23,163.38","7,529.22","6,167.78","13,697.00"
2007,Arizona,"14,285.52","10,709.26","24,994.78","7,873.38","6,303.19","14,176.57"
2008,Arizona,"14,753.72","10,935.41","25,689.13","7,658.94","6,200.42","13,859.36"
2009,Arizona,"14,421.41","10,722.11","25,143.52","7,541.32","5,895.78","13,437.10"
2010,Arizona,"14,589.72","11,025.79","25,615.51","7,675.40","5,992.47","13,667.87"
2011,Arizona,"15,120.97","11,826.42","26,947.39","7,584.27","6,286.49","13,870.76"
2012,Arizona,"15,385.20","12,486.37","27,871.57","7,580.04","6,440.26","14,020.30"
2013,Arizona,"15,373.08","13,356.68","28,729.76","7,506.86","6,747.05","14,253.91"
2014,Arizona,"16,437.94","14,380.62","30,818.56","7,808.84","7,089.12","14,897.96"
2015,Arizona,"16,971.26","15,838.93","32,810.19","7,929.29","7,589.83","15,519.12"
2016,Arizona,"17,290.55","17,010.63","34,301.18","8,172.28","7,892.28","16,064.56"
2017,Arizona,"18,165.40","18,372.71","36,538.11","8,612.42","8,253.68","16,866.10"
2018,Arizona,"18,452.59","19,362.21","37,814.80","8,710.51","8,411.64","17,122.15"
2019,Arizona,"18,936.00","20,405.11","39,341.11","8,804.52","8,560.33","17,364.85"
2020,Arizona,"21,050.03","19,067.11","40,117.14","9,412.14","7,648.65","17,060.79"
2021,Arizona,"22,490.87","23,802.58","46,293.45","9,636.10","9,104.36","18,740.46"
2022,Arizona,"24,568.21","27,086.40","51,654.61","9,448.60","9,656.90","19,105.50"
2023,Arizona,"25,446.26","29,118.06","54,564.32","9,353.41","9,661.37","19,014.78"
2024,Arizona,"26,377.99","30,372.73","56,750.72","9,562.09","9,632.31","19,194.40"
1997,Arkansas,"2,877.07","2,334.65","5,211.72","2,139.74","1,792.73","3,932.47"
1998,Arkansas,"3,007.40","2,413.24","5,420.64","2,204.02","1,805.51","4,009.53"
1999,Arkansas,"3,317.03","2,503.83","5,820.86","2,392.99","1,828.57","4,221.56"
2000,Arkansas,"3,531.37","2,703.85","6,235.22","2,480.98","1,930.87","4,411.85"
2001,Arkansas,"3,798.67","2,846.29","6,644.96","2,594.59","1,979.46","4,574.05"
2002,Arkansas,"3,931.70","2,957.82","6,889.52","2,650.97","2,011.32","4,662.29"
2003,Arkansas,"4,115.97","3,103.07","7,219.04","2,716.54","2,060.85","4,777.39"
2004,Arkansas,"4,471.98","3,338.14","7,810.12","2,839.55","2,150.46","4,990.01"
2005,Arkansas,"4,810.61","3,605.68","8,416.29","2,993.67","2,257.47","5,251.14"
2006,Arkansas,"5,050.58","3,874.36","8,924.94","3,083.21","2,353.46","5,436.67"
2007,Arkansas,"5,262.51","4,048.64","9,311.15","3,083.27","2,378.09","5,461.36"
2008,Arkansas,"5,401.51","4,241.95","9,643.46","2,965.32","2,381.99","5,347.31"
2009,Arkansas,"5,360.06","4,339.11","9,699.17","2,920.33","2,351.19","5,271.52"
2010,Arkansas,"5,482.65","4,445.52","9,928.17","2,969.64","2,378.54","5,348.18"
2011,Arkansas,"5,763.24","4,650.71","10,413.95","2,969.62","2,434.19","5,403.81"
2012,Arkansas,"5,912.27","4,904.10","10,816.37","2,966.27","2,498.07","5,464.34"
2013,Arkansas,"6,008.04","5,097.44","11,105.48","2,978.91","2,538.29","5,517.20"
2014,Arkansas,"6,403.71","5,455.96","11,859.67","3,099.56","2,654.30","5,753.86"
2015,Arkansas,"6,725.24","5,994.02","12,719.26","3,221.93","2,829.71","6,051.64"
2016,Arkansas,"6,796.14","6,372.11","13,168.25","3,302.82","2,949.26","6,252.08"
2017,Arkansas,"7,305.90","6,714.98","14,020.88","3,558.46","3,046.61","6,605.07"
2018,Arkansas,"7,458.02","7,021.65","14,479.67","3,621.72","3,119.91","6,741.63"
2019,Arkansas,"7,436.08","7,362.68","14,798.76","3,586.38","3,173.86","6,760.24"
2020,Arkansas,"8,039.49","7,072.91","15,112.40","3,745.60","2,967.91","6,713.51"
2021,Arkansas,"8,749.88","8,622.65","17,372.53","3,941.20","3,483.50","7,424.70"
2022,Arkansas,"10,060.09","9,535.39","19,595.48","4,068.42","3,574.47","7,642.89"
2023,Arkansas,"10,351.55","10,006.19","20,357.74","3,973.93","3,501.85","7,475.78"
2024,Arkansas,"10,537.81","10,226.68","20,764.49","3,995.74","3,445.14","7,440.88"
1997,California,"40,822.13","38,838.85","79,660.98","29,187.32","30,312.01","59,499.33"
1998,California,"41,236.59","41,104.09","82,340.68","28,605.12","31,245.37","59,850.49"
1999,California,"43,488.11","43,466.85","86,954.96","29,567.85","32,343.65","61,911.50"
2000,California,"44,654.75","47,025.06","91,679.81","29,752.79","34,226.02","63,978.81"
2001,California,"47,912.70","49,395.26","97,307.96","30,643.06","34,850.13","65,493.19"
2002,California,"50,028.59","52,024.69","102,053.28","31,409.53","35,533.40","66,942.93"
2003,California,"53,755.52","54,966.74","108,722.26","32,863.14","36,828.95","69,692.09"
2004,California,"56,617.54","58,900.18","115,517.72","33,368.52","38,286.71","71,655.23"
2005,California,"60,238.20","62,766.14","123,004.34","35,181.77","39,389.12","74,570.89"
2006,California,"63,532.21","67,439.88","130,972.09","36,664.11","41,116.02","77,780.13"
2007,California,"67,272.70","71,134.25","138,406.95","37,076.96","41,867.73","78,944.69"
2008,California,"69,816.24","73,232.88","143,049.12","36,242.95","41,523.33","77,766.28"
2009,California,"68,908.42","71,848.63","140,757.05","36,033.95","39,507.53","75,541.48"
2010,California,"70,783.66","74,794.14","145,577.80","37,238.05","40,650.28","77,888.33"
2011,California,"75,965.60","79,351.48","155,317.08","38,102.28","42,180.33","80,282.61"
2012,California,"77,843.95","83,833.58","161,677.53","38,352.46","43,239.98","81,592.44"
2013,California,"81,018.52","90,642.34","171,660.86","39,562.35","45,787.45","85,349.80"
2014,California,"84,761.79","99,465.95","184,227.74","40,266.06","49,033.09","89,299.15"
2015,California,"86,399.27","109,302.00","195,701.27","40,367.33","52,376.26","92,743.59"
2016,California,"87,801.44","117,181.80","204,983.24","41,498.85","54,367.86","95,866.71"
2017,California,"88,050.70","125,890.28","213,940.98","41,745.83","56,554.44","98,300.27"
2018,California,"92,158.22","133,493.86","225,652.08","43,503.12","57,994.50","101,497.62"
2019,California,"94,872.95","140,061.23","234,934.18","44,112.33","58,758.38","102,870.71"
2020,California,"103,356.53","116,739.33","220,095.86","46,213.98","46,829.26","93,043.24"
2021,California,"109,114.60","146,890.00","256,004.60","46,749.63","56,184.64","102,934.27"
2022,California,"118,857.38","175,035.23","293,892.61","45,710.90","62,403.94","108,114.84"
2023,California,"122,158.43","201,422.06","323,580.49","44,902.39","66,831.82","111,734.21"
2024,California,"125,819.01","217,042.88","342,861.89","45,609.74","68,832.27","114,442.01"
1997,Colorado,"5,903.30","5,411.81","11,315.11","4,220.79","4,223.68","8,444.47"
1998,Colorado,"6,301.03","5,742.83","12,043.86","4,370.92","4,365.43","8,736.35"
1999,Colorado,"6,789.18","6,104.64","12,893.82","4,616.01","4,542.46","9,158.47"
2000,Colorado,"7,113.60","6,644.37","13,757.97","4,739.68","4,835.94","9,575.62"
2001,Colorado,"7,577.44","6,957.48","14,534.92","4,846.23","4,908.76","9,754.99"
2002,Colorado,"7,671.95","7,255.44","14,927.39","4,816.69","4,955.54","9,772.23"
2003,Colorado,"8,041.97","7,574.00","15,615.97","4,916.41","5,074.75","9,991.16"
2004,Colorado,"8,629.35","8,099.68","16,729.03","5,085.85","5,265.01","10,350.86"
2005,Colorado,"9,503.13","8,622.02","18,125.15","5,550.25","5,410.78","10,961.03"
2006,Colorado,"9,985.19","9,282.37","19,267.56","5,762.40","5,659.18","11,421.58"
2007,Colorado,"10,748.65","9,845.01","20,593.66","5,924.05","5,794.51","11,718.56"
2008,Colorado,"11,409.04","10,168.01","21,577.05","5,922.65","5,765.30","11,687.95"
2009,Colorado,"11,149.18","10,001.46","21,150.64","5,830.19","5,499.52","11,329.71"
2010,Colorado,"11,576.86","10,342.07","21,918.93","6,090.39","5,620.87","11,711.26"
2011,Colorado,"12,077.76","11,104.75","23,182.51","6,057.88","5,902.88","11,960.76"
2012,Colorado,"12,578.10","11,781.06","24,359.16","6,197.03","6,076.47","12,273.50"
2013,Colorado,"12,948.80","12,658.74","25,607.54","6,323.06","6,394.49","12,717.55"
2014,Colorado,"13,479.53","13,767.81","27,247.34","6,403.45","6,787.03","13,190.48"
2015,Colorado,"13,918.44","15,236.16","29,154.60","6,502.95","7,300.99","13,803.94"
2016,Colorado,"14,382.38","16,337.74","30,720.12","6,797.75","7,580.09","14,377.84"
2017,Colorado,"15,105.26","17,511.86","32,617.12","7,161.57","7,866.96","15,028.53"
2018,Colorado,"15,578.22","18,399.84","33,978.06","7,353.67","7,993.55","15,347.22"
2019,Colorado,"16,247.89","19,274.88","35,522.77","7,554.65","8,086.18","15,640.83"
2020,Colorado,"17,780.77","17,022.96","34,803.73","7,950.34","6,828.66","14,779.00"
2021,Colorado,"18,573.56","21,806.71","40,380.27","7,957.75","8,340.95","16,298.70"
2022,Colorado,"20,316.39","25,019.20","45,335.59","7,813.40","8,919.90","16,733.30"
2023,Colorado,"20,402.41","27,169.62","47,572.03","7,499.42","9,014.88","16,514.30"
2024,Colorado,"20,520.69","28,436.94","48,957.63","7,438.81","9,018.40","16,457.21"
1997,Connecticut,"5,472.07","3,857.44","9,329.51","4,039.56","3,055.02","7,094.58"
1998,Connecticut,"5,507.52","3,971.51","9,479.03","4,006.08","3,068.45","7,074.53"
1999,Connecticut,"5,726.39","4,172.48","9,898.87","4,078.04","3,133.70","7,211.74"
2000,Connecticut,"5,709.45","4,423.99","10,133.44","4,001.32","3,253.01","7,254.33"
2001,Connecticut,"5,885.05","4,587.71","10,472.76","3,997.27","3,276.19","7,273.46"
2002,Connecticut,"5,979.99","4,879.54","10,859.53","4,018.17","3,400.08","7,418.25"
2003,Connecticut,"5,966.29","5,127.82","11,094.11","3,920.42","3,499.76","7,420.18"
2004,Connecticut,"6,243.71","5,451.17","11,694.88","3,929.14","3,622.65","7,551.79"
2005,Connecticut,"6,364.10","5,734.54","12,098.64","3,901.74","3,705.76","7,607.50"
2006,Connecticut,"6,611.82","6,087.83","12,699.65","3,963.76","3,796.26","7,760.02"
2007,Connecticut,"6,859.97","6,457.26","13,317.23","3,958.02","3,863.60","7,821.62"
2008,Connecticut,"7,035.77","6,693.47","13,729.24","3,822.58","3,832.79","7,655.37"
2009,Connecticut,"6,884.21","6,576.82","13,461.03","3,703.67","3,641.94","7,345.61"
2010,Connecticut,"7,163.30","6,713.23","13,876.53","3,817.71","3,660.42","7,478.13"
2011,Connecticut,"7,616.51","7,095.43","14,711.94","3,891.82","3,776.13","7,667.95"
2012,Connecticut,"7,830.91","7,516.72","15,347.63","3,894.61","3,895.82","7,790.43"
2013,Connecticut,"7,885.22","7,919.82","15,805.04","3,889.16","4,036.73","7,925.89"
2014,Connecticut,"8,082.78","8,426.52","16,509.30","3,919.68","4,202.44","8,122.12"
2015,Connecticut,"7,983.34","8,961.26","16,944.60","3,818.77","4,367.56","8,186.33"
2016,Connecticut,"7,935.43","9,394.48","17,329.91","3,847.30","4,459.97","8,307.27"
2017,Connecticut,"7,902.84","9,917.05","17,819.89","3,825.58","4,599.80","8,425.38"
2018,Connecticut,"7,991.70","10,404.92","18,396.62","3,821.47","4,696.37","8,517.84"
2019,Connecticut,"8,088.28","10,741.77","18,830.05","3,836.93","4,713.27","8,550.20"
2020,Connecticut,"8,399.28","9,044.43","17,443.71","3,852.45","3,830.00","7,682.45"
2021,Connecticut,"8,963.21","11,413.70","20,376.91","4,016.79","4,613.56","8,630.35"
2022,Connecticut,"9,681.15","13,207.74","22,888.89","3,939.75","4,994.76","8,934.51"
2023,Connecticut,"9,727.03","14,370.87","24,097.90","3,777.78","5,085.40","8,863.18"
2024,Connecticut,"9,789.50","14,941.66","24,731.16","3,768.02","5,066.45","8,834.47"
1997,Delaware,"1,062.22","1,002.33","2,064.55",789.99,769.67,"1,559.66"
1998,Delaware,"1,083.31","1,041.31","2,124.62",793.92,779.07,"1,572.99"
1999,Delaware,"1,174.32","1,069.78","2,244.10",847.18,781.27,"1,628.45"
2000,Delaware,"1,223.72","1,139.53","2,363.25",859.73,813.76,"1,673.49"
2001,Delaware,"1,262.44","1,182.08","2,444.52",862.28,822.08,"1,684.36"
2002,Delaware,"1,263.81","1,233.48","2,497.29",852.13,838.77,"1,690.90"
2003,Delaware,"1,320.17","1,298.32","2,618.49",871.31,862.26,"1,733.57"
2004,Delaware,"1,421.86","1,409.25","2,831.11",902.83,907.86,"1,810.69"
2005,Delaware,"1,494.40","1,488.69","2,983.09",929.97,932.05,"1,862.02"
2006,Delaware,"1,594.19","1,559.27","3,153.46",973.2,947.17,"1,920.37"
2007,Delaware,"1,666.92","1,628.17","3,295.09",976.64,956.35,"1,932.99"
2008,Delaware,"1,747.08","1,682.22","3,429.30",959.11,944.62,"1,903.73"
2009,Delaware,"1,701.10","1,698.56","3,399.66",926.81,920.39,"1,847.20"
2010,Delaware,"1,733.74","1,763.22","3,496.96",939.07,943.4,"1,882.47"
2011,Delaware,"1,823.36","1,857.56","3,680.92",939.52,972.25,"1,911.77"
2012,Delaware,"1,905.81","1,941.76","3,847.57",956.17,989.1,"1,945.27"
2013,Delaware,"2,008.46","2,057.19","4,065.65",995.84,"1,024.38","2,020.22"
2014,Delaware,"2,075.48","2,168.68","4,244.16","1,004.58","1,055.05","2,059.63"
2015,Delaware,"2,039.88","2,394.58","4,434.46",977.27,"1,130.45","2,107.72"
2016,Delaware,"2,042.49","2,527.82","4,570.31",992.62,"1,169.97","2,162.59"
2017,Delaware,"2,264.96","2,674.70","4,939.66","1,103.19","1,213.52","2,316.71"
2018,Delaware,"2,307.49","2,836.04","5,143.53","1,120.55","1,260.13","2,380.68"
2019,Delaware,"2,312.96","2,966.40","5,279.36","1,115.53","1,278.74","2,394.27"
2020,Delaware,"2,463.29","2,585.32","5,048.61","1,147.65","1,084.84","2,232.49"
2021,Delaware,"2,672.38","3,318.44","5,990.82","1,203.72","1,340.63","2,544.35"
2022,Delaware,"2,995.27","3,818.31","6,813.58","1,211.32","1,431.34","2,642.66"
2023,Delaware,"3,027.33","4,110.95","7,138.28","1,162.18","1,438.70","2,600.88"
2024,Delaware,"3,070.86","4,299.06","7,369.92","1,164.41","1,448.26","2,612.67"
1997,District of Columbia,635.82,"1,723.86","2,359.68",472.87,"1,323.72","1,796.59"
1998,District of Columbia,610.69,"1,757.51","2,368.20",447.55,"1,314.91","1,762.46"
1999,District of Columbia,601.36,"1,813.80","2,415.16",433.83,"1,324.64","1,758.47"
2000,District of Columbia,594.1,"2,082.95","2,677.05",417.39,"1,487.48","1,904.87"
2001,District of Columbia,602.71,"2,026.39","2,629.10",411.67,"1,409.26","1,820.93"
2002,District of Columbia,601.75,"2,045.51","2,647.26",405.73,"1,390.95","1,796.68"
2003,District of Columbia,647.56,"2,153.80","2,801.36",427.39,"1,430.41","1,857.80"
2004,District of Columbia,672.86,"2,311.44","2,984.30",427.24,"1,489.05","1,916.29"
2005,District of Columbia,637.73,"2,496.78","3,134.51",396.87,"1,563.20","1,960.07"
2006,District of Columbia,676.67,"2,607.56","3,284.23",413.08,"1,583.95","1,997.03"
2007,District of Columbia,715.45,"2,749.71","3,465.16",419.18,"1,615.12","2,034.30"
2008,District of Columbia,786.17,"2,862.43","3,648.60",431.59,"1,607.35","2,038.94"
2009,District of Columbia,796.82,"2,850.03","3,646.85",434.13,"1,544.32","1,978.45"
2010,District of Columbia,866.53,"2,943.33","3,809.86",469.35,"1,574.81","2,044.16"
2011,District of Columbia,928.8,"3,172.49","4,101.29",478.58,"1,660.48","2,139.06"
2012,District of Columbia,958.32,"3,410.58","4,368.90",480.8,"1,737.30","2,218.10"
2013,District of Columbia,986.35,"3,532.56","4,518.91",489.05,"1,759.05","2,248.10"
2014,District of Columbia,"1,128.45","3,778.60","4,907.05",546.2,"1,838.28","2,384.48"
2015,District of Columbia,"1,192.08","4,153.42","5,345.50",571.1,"1,960.78","2,531.88"
2016,District of Columbia,"1,231.95","4,326.36","5,558.31",598.71,"2,002.41","2,601.12"
2017,District of Columbia,"1,308.70","4,572.21","5,880.91",637.42,"2,074.42","2,711.84"
2018,District of Columbia,"1,344.41","4,828.23","6,172.64",652.87,"2,145.31","2,798.18"
2019,District of Columbia,"1,379.49","5,061.68","6,441.17",665.32,"2,181.96","2,847.28"
2020,District of Columbia,"1,411.91","3,257.60","4,669.51",657.81,"1,366.94","2,024.75"
2021,District of Columbia,"1,509.62","4,117.48","5,627.10",679.98,"1,663.44","2,343.42"
2022,District of Columbia,"1,769.46","5,664.14","7,433.60",715.59,"2,123.28","2,838.87"
2023,District of Columbia,"1,891.20","6,996.12","8,887.32",726.03,"2,448.42","3,174.45"
2024,District of Columbia,"2,014.56","7,980.32","9,994.88",763.88,"2,688.40","3,452.28"
1997,Florida,"22,069.25","19,475.22","41,544.47","16,413.38","14,954.63","31,368.01"
1998,Florida,"23,050.25","20,513.70","43,563.95","16,892.79","15,347.66","32,240.45"
1999,Florida,"24,583.40","21,487.63","46,071.03","17,735.06","15,692.63","33,427.69"
2000,Florida,"25,711.85","22,918.70","48,630.55","18,063.98","16,366.68","34,430.66"
2001,Florida,"26,740.43","24,222.08","50,962.51","18,264.46","16,845.35","35,109.81"
2002,Florida,"26,868.01","25,416.15","52,284.16","18,115.91","17,282.98","35,398.89"
2003,Florida,"27,885.60","26,876.73","54,762.33","18,404.50","17,849.77","36,254.27"
2004,Florida,"30,282.27","29,598.50","59,880.77","19,228.16","19,067.67","38,295.83"
2005,Florida,"31,785.98","31,874.73","63,660.71","19,780.61","19,956.35","39,736.96"
2006,Florida,"33,808.15","33,875.37","67,683.52","20,638.70","20,577.39","41,216.09"
2007,Florida,"35,325.75","35,776.38","71,102.13","20,697.11","21,014.33","41,711.44"
2008,Florida,"36,785.07","36,884.81","73,669.88","20,194.29","20,712.01","40,906.30"
2009,Florida,"35,653.94","36,125.87","71,779.81","19,425.40","19,575.22","39,000.62"
2010,Florida,"37,031.93","37,517.55","74,549.48","20,058.10","20,073.47","40,131.57"
2011,Florida,"39,591.48","40,413.85","80,005.33","20,400.24","21,152.66","41,552.90"
2012,Florida,"40,986.72","43,268.36","84,255.08","20,563.60","22,040.23","42,603.83"
2013,Florida,"42,376.20","46,379.82","88,756.02","21,011.01","23,095.00","44,106.01"
2014,Florida,"44,955.91","50,689.00","95,644.91","21,759.79","24,660.00","46,419.79"
2015,Florida,"46,870.56","56,014.98","102,885.54","22,454.76","26,444.07","48,898.83"
2016,Florida,"48,178.34","60,127.27","108,305.61","23,413.91","27,829.22","51,243.13"
2017,Florida,"50,337.98","64,199.56","114,537.54","24,517.94","29,127.54","53,645.48"
2018,Florida,"52,933.14","67,801.20","120,734.34","25,705.10","30,125.88","55,830.98"
2019,Florida,"54,463.36","71,419.70","125,883.06","26,267.40","30,787.17","57,054.57"
2020,Florida,"58,699.61","63,142.26","121,841.87","27,348.18","26,495.53","53,843.71"
2021,Florida,"63,057.70","81,211.46","144,269.16","28,403.04","32,808.92","61,211.96"
2022,Florida,"70,972.23","91,463.53","162,435.76","28,702.01","34,286.32","62,988.33"
2023,Florida,"73,904.96","99,172.92","173,077.88","28,371.89","34,707.38","63,079.27"
2024,Florida,"76,996.60","105,793.32","182,789.92","29,195.64","35,639.47","64,835.11"
1997,Georgia,"9,975.74","9,364.18","19,339.92","7,419.18","7,190.56","14,609.74"
1998,Georgia,"10,308.02","9,935.58","20,243.60","7,554.42","7,433.47","14,987.89"
1999,Georgia,"10,997.71","10,664.86","21,662.57","7,934.01","7,788.66","15,722.67"
2000,Georgia,"11,763.04","11,437.55","23,200.59","8,264.18","8,167.77","16,431.95"
2001,Georgia,"12,084.63","11,814.44","23,899.07","8,254.14","8,216.41","16,470.55"
2002,Georgia,"12,038.91","12,501.30","24,540.21","8,117.31","8,500.89","16,618.20"
2003,Georgia,"12,632.08","13,442.85","26,074.93","8,337.17","8,927.86","17,265.03"
2004,Georgia,"13,338.66","14,510.81","27,849.47","8,469.57","9,348.02","17,817.59"
2005,Georgia,"15,362.08","15,545.06","30,907.14","9,559.92","9,732.56","19,292.48"
2006,Georgia,"16,474.98","16,651.36","33,126.34","10,057.40","10,114.77","20,172.17"
2007,Georgia,"17,544.26","17,726.30","35,270.56","10,279.06","10,412.07","20,691.13"
2008,Georgia,"18,304.04","18,140.52","36,444.56","10,048.56","10,186.49","20,235.05"
2009,Georgia,"17,910.29","17,953.60","35,863.89","9,758.10","9,728.36","19,486.46"
2010,Georgia,"18,509.50","18,221.56","36,731.06","10,025.54","9,749.30","19,774.84"
2011,Georgia,"19,974.25","19,238.20","39,212.45","10,292.10","10,069.30","20,361.40"
2012,Georgia,"20,696.29","20,254.88","40,951.17","10,383.61","10,317.52","20,701.13"
2013,Georgia,"21,843.85","21,713.61","43,557.46","10,830.64","10,812.37","21,643.01"
2014,Georgia,"23,253.17","23,519.35","46,772.52","11,255.12","11,442.07","22,697.19"
2015,Georgia,"23,902.74","25,862.45","49,765.19","11,451.33","12,209.39","23,660.72"
