Year,Month,Month_Number,Data_Item,Value,Units,Source
2024,January,1,"Beef for stew, boneless retail price",7.001,Dollars per pound,BLS
2024,February,2,"Beef for stew, boneless retail price",6.839,Dollars per pound,BLS
2024,March,3,"Beef for stew, boneless retail price",6.991,Dollars per pound,BLS
2024,April,4,"Beef for stew, boneless retail price",7.197,Dollars per pound,BLS
2024,May,5,"Beef for stew, boneless retail price",7.229,Dollars per pound,BLS
2024,June,6,"Beef for stew, boneless retail price",7.239,Dollars per pound,BLS
2024,July,7,"Beef for stew, boneless retail price",7.145,Dollars per pound,BLS
2024,August,8,"Beef for stew, boneless retail price",7.298,Dollars per pound,BLS
2024,September,9,"Beef for stew, boneless retail price",7.217,Dollars per pound,BLS
2024,October,10,"Beef for stew, boneless retail price",7.177,Dollars per pound,BLS
2024,November,11,"Beef for stew, boneless retail price",7.432,Dollars per pound,BLS
2024,December,12,"Beef for stew, boneless retail price",7.393,Dollars per pound,BLS
2025,January,1,"Beef for stew, boneless retail price",7.318,Dollars per pound,BLS
2025,February,2,"Beef for stew, boneless retail price",7.677,Dollars per pound,BLS
2025,March,3,"Beef for stew, boneless retail price",7.601,Dollars per pound,BLS
2025,April,4,"Beef for stew, boneless retail price",7.733,Dollars per pound,BLS
2025,May,5,"Beef for stew, boneless retail price",7.729,Dollars per pound,BLS
2025,June,6,"Beef for stew, boneless retail price",8.016,Dollars per pound,BLS
2025,July,7,"Beef for stew, boneless retail price",8.188,Dollars per pound,BLS
2025,August,8,"Beef for stew, boneless retail price",8.815,Dollars per pound,BLS
2023,August,8,All uncooked beef steaks retail price,10.750,Dollars per pound,BLS
2023,September,9,All uncooked beef steaks retail price,10.771,Dollars per pound,BLS
2023,October,10,All uncooked beef steaks retail price,10.834,Dollars per pound,BLS
2023,November,11,All uncooked beef steaks retail price,10.482,Dollars per pound,BLS
2023,December,12,All uncooked beef steaks retail price,10.646,Dollars per pound,BLS
2024,January,1,All uncooked beef steaks retail price,10.686,Dollars per pound,BLS
2024,February,2,All uncooked beef steaks retail price,10.530,Dollars per pound,BLS
2024,March,3,All uncooked beef steaks retail price,10.594,Dollars per pound,BLS
2024,April,4,All uncooked beef steaks retail price,10.745,Dollars per pound,BLS
2024,May,5,All uncooked beef steaks retail price,10.734,Dollars per pound,BLS
2024,June,6,All uncooked beef steaks retail price,10.635,Dollars per pound,BLS
2024,July,7,All uncooked beef steaks retail price,10.856,Dollars per pound,BLS
2024,August,8,All uncooked beef steaks retail price,10.875,Dollars per pound,BLS
2024,September,9,All uncooked beef steaks retail price,10.882,Dollars per pound,BLS
2024,October,10,All uncooked beef steaks retail price,10.565,Dollars per pound,BLS
2024,November,11,All uncooked beef steaks retail price,10.673,Dollars per pound,BLS
2024,December,12,All uncooked beef steaks retail price,10.626,Dollars per pound,BLS
2025,January,1,All uncooked beef steaks retail price,10.905,Dollars per pound,BLS
2025,February,2,All uncooked beef steaks retail price,10.868,Dollars per pound,BLS
2025,March,3,All uncooked beef steaks retail price,10.980,Dollars per pound,BLS
2025,April,4,All uncooked beef steaks retail price,11.120,Dollars per pound,BLS
2025,May,5,All uncooked beef steaks retail price,11.032,Dollars per pound,BLS
2025,June,6,All uncooked beef steaks retail price,11.491,Dollars per pound,BLS
2025,July,7,All uncooked beef steaks retail price,11.875,Dollars per pound,BLS
2025,August,8,All uncooked beef steaks retail price,12.222,Dollars per pound,BLS
2023,August,8,All uncooked other beef not veal retail price,6.818,Dollars per pound,BLS
2023,September,9,All uncooked other beef not veal retail price,6.831,Dollars per pound,BLS
2023,October,10,All uncooked other beef not veal retail price,6.787,Dollars per pound,BLS
2023,November,11,All uncooked other beef not veal retail price,6.999,Dollars per pound,BLS
2023,December,12,All uncooked other beef not veal retail price,6.905,Dollars per pound,BLS
2024,January,1,All uncooked other beef not veal retail price,6.918,Dollars per pound,BLS
2024,February,2,All uncooked other beef not veal retail price,6.969,Dollars per pound,BLS
2024,March,3,All uncooked other beef not veal retail price,7.041,Dollars per pound,BLS
2024,April,4,All uncooked other beef not veal retail price,7.244,Dollars per pound,BLS
2024,May,5,All uncooked other beef not veal retail price,7.026,Dollars per pound,BLS
2024,June,6,All uncooked other beef not veal retail price,7.281,Dollars per pound,BLS
2024,July,7,All uncooked other beef not veal retail price,7.216,Dollars per pound,BLS
2024,August,8,All uncooked other beef not veal retail price,7.355,Dollars per pound,BLS
2024,September,9,All uncooked other beef not veal retail price,7.359,Dollars per pound,BLS
2024,October,10,All uncooked other beef not veal retail price,7.109,Dollars per pound,BLS
2024,November,11,All uncooked other beef not veal retail price,7.088,Dollars per pound,BLS
2024,December,12,All uncooked other beef not veal retail price,6.945,Dollars per pound,BLS
2025,January,1,All uncooked other beef not veal retail price,6.926,Dollars per pound,BLS
2025,February,2,All uncooked other beef not veal retail price,7.165,Dollars per pound,BLS
2025,March,3,All uncooked other beef not veal retail price,7.204,Dollars per pound,BLS
2025,April,4,All uncooked other beef not veal retail price,7.323,Dollars per pound,BLS
2025,May,5,All uncooked other beef not veal retail price,7.350,Dollars per pound,BLS
2025,June,6,All uncooked other beef not veal retail price,7.469,Dollars per pound,BLS
2025,July,7,All uncooked other beef not veal retail price,7.621,Dollars per pound,BLS
2025,August,8,All uncooked other beef not veal retail price,7.875,Dollars per pound,BLS
2023,August,8,"Bacon, sliced retail price",6.502,Dollars per pound,BLS
2023,September,9,"Bacon, sliced retail price",7.083,Dollars per pound,BLS
2023,October,10,"Bacon, sliced retail price",7.223,Dollars per pound,BLS
2023,November,11,"Bacon, sliced retail price",6.899,Dollars per pound,BLS
2023,December,12,"Bacon, sliced retail price",6.774,Dollars per pound,BLS
2024,January,1,"Bacon, sliced retail price",6.614,Dollars per pound,BLS
2024,February,2,"Bacon, sliced retail price",6.560,Dollars per pound,BLS
2024,March,3,"Bacon, sliced retail price",6.609,Dollars per pound,BLS
2024,April,4,"Bacon, sliced retail price",6.637,Dollars per pound,BLS
2024,May,5,"Bacon, sliced retail price",6.818,Dollars per pound,BLS
2024,June,6,"Bacon, sliced retail price",6.827,Dollars per pound,BLS
2024,July,7,"Bacon, sliced retail price",6.883,Dollars per pound,BLS
2024,August,8,"Bacon, sliced retail price",6.785,Dollars per pound,BLS
2024,September,9,"Bacon, sliced retail price",6.955,Dollars per pound,BLS
2024,October,10,"Bacon, sliced retail price",6.869,Dollars per pound,BLS
2024,November,11,"Bacon, sliced retail price",6.843,Dollars per pound,BLS
2024,December,12,"Bacon, sliced retail price",6.915,Dollars per pound,BLS
2025,January,1,"Bacon, sliced retail price",7.044,Dollars per pound,BLS
2025,February,2,"Bacon, sliced retail price",6.798,Dollars per pound,BLS
2025,March,3,"Bacon, sliced retail price",6.978,Dollars per pound,BLS
2025,April,4,"Bacon, sliced retail price",7.009,Dollars per pound,BLS
2025,May,5,"Bacon, sliced retail price",6.985,Dollars per pound,BLS
2025,June,6,"Bacon, sliced retail price",7.098,Dollars per pound,BLS
2025,July,7,"Bacon, sliced retail price",7.118,Dollars per pound,BLS
2025,August,8,"Bacon, sliced retail price",7.208,Dollars per pound,BLS
2023,August,8,"Pork chops, center cut, bone in retail price",4.630,Dollars per pound,BLS
2023,September,9,"Pork chops, center cut, bone in retail price",4.552,Dollars per pound,BLS
2023,October,10,"Pork chops, center cut, bone in retail price",4.426,Dollars per pound,BLS
2023,November,11,"Pork chops, center cut, bone in retail price",4.278,Dollars per pound,BLS
2023,December,12,"Pork chops, center cut, bone in retail price",4.327,Dollars per pound,BLS
2024,January,1,"Pork chops, center cut, bone in retail price",4.534,Dollars per pound,BLS
2024,February,2,"Pork chops, center cut, bone in retail price",4.400,Dollars per pound,BLS
2024,March,3,"Pork chops, center cut, bone in retail price",4.333,Dollars per pound,BLS
2024,April,4,"Pork chops, center cut, bone in retail price",4.332,Dollars per pound,BLS
2024,May,5,"Pork chops, center cut, bone in retail price",4.545,Dollars per pound,BLS
2024,June,6,"Pork chops, center cut, bone in retail price",4.616,Dollars per pound,BLS
2024,July,7,"Pork chops, center cut, bone in retail price",4.568,Dollars per pound,BLS
2024,August,8,"Pork chops, center cut, bone in retail price",4.640,Dollars per pound,BLS
2024,September,9,"Pork chops, center cut, bone in retail price",4.620,Dollars per pound,BLS
2024,October,10,"Pork chops, center cut, bone in retail price",4.487,Dollars per pound,BLS
2024,November,11,"Pork chops, center cut, bone in retail price",4.647,Dollars per pound,BLS
2024,December,12,"Pork chops, center cut, bone in retail price",4.580,Dollars per pound,BLS
2025,January,1,"Pork chops, center cut, bone in retail price",4.625,Dollars per pound,BLS
2025,February,2,"Pork chops, center cut, bone in retail price",4.463,Dollars per pound,BLS
2025,March,3,"Pork chops, center cut, bone in retail price",4.498,Dollars per pound,BLS
2025,April,4,"Pork chops, center cut, bone in retail price",4.454,Dollars per pound,BLS
2025,May,5,"Pork chops, center cut, bone in retail price",4.505,Dollars per pound,BLS
2025,June,6,"Pork chops, center cut, bone in retail price",4.617,Dollars per pound,BLS
2025,July,7,"Pork chops, center cut, bone in retail price",4.607,Dollars per pound,BLS
2025,August,8,"Pork chops, center cut, bone in retail price",4.600,Dollars per pound,BLS
2023,August,8,"Pork chops, boneless, retail price",4.556,Dollars per pound,BLS
2023,September,9,"Pork chops, boneless, retail price",4.558,Dollars per pound,BLS
2023,October,10,"Pork chops, boneless, retail price",4.767,Dollars per pound,BLS
2023,November,11,"Pork chops, boneless, retail price",4.629,Dollars per pound,BLS
2023,December,12,"Pork chops, boneless, retail price",4.557,Dollars per pound,BLS
2024,January,1,"Pork chops, boneless, retail price",4.524,Dollars per pound,BLS
2024,February,2,"Pork chops, boneless, retail price",4.377,Dollars per pound,BLS
2024,March,3,"Pork chops, boneless, retail price",4.527,Dollars per pound,BLS
2024,April,4,"Pork chops, boneless, retail price",4.511,Dollars per pound,BLS
2024,May,5,"Pork chops, boneless, retail price",4.634,Dollars per pound,BLS
2024,June,6,"Pork chops, boneless, retail price",4.589,Dollars per pound,BLS
2024,July,7,"Pork chops, boneless, retail price",4.652,Dollars per pound,BLS
2024,August,8,"Pork chops, boneless, retail price",4.622,Dollars per pound,BLS
