Year,Period,Period_Number,Data_Item,Value,Units
2019,Annual,17,Choice beef gross farm value,277.0,Cents per pound of retail equivalent
2020,Annual,17,Choice beef gross farm value,260.8,Cents per pound of retail equivalent
2021,Annual,17,Choice beef gross farm value,291.9,Cents per pound of retail equivalent
2022,Annual,17,Choice beef gross farm value,342.4,Cents per pound of retail equivalent
2023,Annual,17,Choice beef gross farm value,416.1,Cents per pound of retail equivalent
2024,Annual,17,Choice beef gross farm value,444.0,Cents per pound of retail equivalent
2022,"Quarter 3, July-September",15,Choice beef gross farm value,334.8,Cents per pound of retail equivalent
2022,"Quarter 4, October-December",16,Choice beef gross farm value,364.2,Cents per pound of retail equivalent
2023,"Quarter 1, January-March",13,Choice beef gross farm value,385.7,Cents per pound of retail equivalent
2023,"Quarter 2, April-June",14,Choice beef gross farm value,420.1,Cents per pound of retail equivalent
2023,"Quarter 3, July-September",15,Choice beef gross farm value,432.9,Cents per pound of retail equivalent
2023,"Quarter 4, October-December",16,Choice beef gross farm value,425.6,Cents per pound of retail equivalent
2024,"Quarter 1, January-March",13,Choice beef gross farm value,432.5,Cents per pound of retail equivalent
2024,"Quarter 2, April-June",14,Choice beef gross farm value,445.0,Cents per pound of retail equivalent
2024,"Quarter 3, July-September",15,Choice beef gross farm value,445.3,Cents per pound of retail equivalent
2024,"Quarter 4, October-December",16,Choice beef gross farm value,453.2,Cents per pound of retail equivalent
2025,"Quarter 1, January-March",13,Choice beef gross farm value,485.2,Cents per pound of retail equivalent
2025,"Quarter 2, April-June",14,Choice beef gross farm value,534.3,Cents per pound of retail equivalent
2023,September,9,Choice beef gross farm value,436.7,Cents per pound of retail equivalent
2023,October,10,Choice beef gross farm value,439.1,Cents per pound of retail equivalent
2023,November,11,Choice beef gross farm value,427.7,Cents per pound of retail equivalent
2023,December,12,Choice beef gross farm value,410.0,Cents per pound of retail equivalent
2024,January,1,Choice beef gross farm value,417.2,Cents per pound of retail equivalent
2024,February,2,Choice beef gross farm value,434.2,Cents per pound of retail equivalent
2024,March,3,Choice beef gross farm value,447.1,Cents per pound of retail equivalent
2024,April,4,Choice beef gross farm value,438.0,Cents per pound of retail equivalent
2024,May,5,Choice beef gross farm value,445.4,Cents per pound of retail equivalent
2024,June,6,Choice beef gross farm value,451.6,Cents per pound of retail equivalent
2024,July,7,Choice beef gross farm value,453.2,Cents per pound of retail equivalent
2024,August,8,Choice beef gross farm value,444.4,Cents per pound of retail equivalent
2024,September,9,Choice beef gross farm value,438.7,Cents per pound of retail equivalent
2024,October,10,Choice beef gross farm value,451.0,Cents per pound of retail equivalent
2024,November,11,Choice beef gross farm value,449.2,Cents per pound of retail equivalent
2024,December,12,Choice beef gross farm value,459.6,Cents per pound of retail equivalent
2025,January,1,Choice beef gross farm value,481.7,Cents per pound of retail equivalent
2025,February,2,Choice beef gross farm value,483.3,Cents per pound of retail equivalent
2025,March,3,Choice beef gross farm value,491.3,Cents per pound of retail equivalent
2025,April,4,Choice beef gross farm value,522.8,Cents per pound of retail equivalent
2025,May,5,Choice beef gross farm value,528.6,Cents per pound of retail equivalent
2025,June,6,Choice beef gross farm value,551.4,Cents per pound of retail equivalent
2025,July,7,Choice beef gross farm value,549.3,Cents per pound of retail equivalent
2025,August,8,Choice beef gross farm value,571.4,Cents per pound of retail equivalent
2019,Annual,17,Choice beef byproduct allowance,19.8,Cents per pound of retail equivalent
2020,Annual,17,Choice beef byproduct allowance,17.3,Cents per pound of retail equivalent
2021,Annual,17,Choice beef byproduct allowance,25.1,Cents per pound of retail equivalent
2022,Annual,17,Choice beef byproduct allowance,35.0,Cents per pound of retail equivalent
2023,Annual,17,Choice beef byproduct allowance,34.3,Cents per pound of retail equivalent
2024,Annual,17,Choice beef byproduct allowance,30.7,Cents per pound of retail equivalent
2022,"Quarter 3, July-September",15,Choice beef byproduct allowance,34.8,Cents per pound of retail equivalent
2022,"Quarter 4, October-December",16,Choice beef byproduct allowance,40.0,Cents per pound of retail equivalent
2023,"Quarter 1, January-March",13,Choice beef byproduct allowance,34.8,Cents per pound of retail equivalent
2023,"Quarter 2, April-June",14,Choice beef byproduct allowance,33.0,Cents per pound of retail equivalent
2023,"Quarter 3, July-September",15,Choice beef byproduct allowance,36.2,Cents per pound of retail equivalent
2023,"Quarter 4, October-December",16,Choice beef byproduct allowance,33.0,Cents per pound of retail equivalent
2024,"Quarter 1, January-March",13,Choice beef byproduct allowance,31.9,Cents per pound of retail equivalent
2024,"Quarter 2, April-June",14,Choice beef byproduct allowance,30.6,Cents per pound of retail equivalent
2024,"Quarter 3, July-September",15,Choice beef byproduct allowance,30.0,Cents per pound of retail equivalent
2024,"Quarter 4, October-December",16,Choice beef byproduct allowance,30.3,Cents per pound of retail equivalent
2025,"Quarter 1, January-March",13,Choice beef byproduct allowance,32.3,Cents per pound of retail equivalent
2025,"Quarter 2, April-June",14,Choice beef byproduct allowance,32.2,Cents per pound of retail equivalent
2023,September,9,Choice beef byproduct allowance,36.9,Cents per pound of retail equivalent
2023,October,10,Choice beef byproduct allowance,35.7,Cents per pound of retail equivalent
2023,November,11,Choice beef byproduct allowance,33.2,Cents per pound of retail equivalent
2023,December,12,Choice beef byproduct allowance,30.2,Cents per pound of retail equivalent
2024,January,1,Choice beef byproduct allowance,30.3,Cents per pound of retail equivalent
2024,February,2,Choice beef byproduct allowance,34.3,Cents per pound of retail equivalent
2024,March,3,Choice beef byproduct allowance,31.1,Cents per pound of retail equivalent
2024,April,4,Choice beef byproduct allowance,31.3,Cents per pound of retail equivalent
2024,May,5,Choice beef byproduct allowance,30.2,Cents per pound of retail equivalent
2024,June,6,Choice beef byproduct allowance,30.4,Cents per pound of retail equivalent
2024,July,7,Choice beef byproduct allowance,30.6,Cents per pound of retail equivalent
2024,August,8,Choice beef byproduct allowance,29.4,Cents per pound of retail equivalent
2024,September,9,Choice beef byproduct allowance,30.0,Cents per pound of retail equivalent
2024,October,10,Choice beef byproduct allowance,29.8,Cents per pound of retail equivalent
2024,November,11,Choice beef byproduct allowance,29.8,Cents per pound of retail equivalent
2024,December,12,Choice beef byproduct allowance,31.2,Cents per pound of retail equivalent
2025,January,1,Choice beef byproduct allowance,31.4,Cents per pound of retail equivalent
2025,February,2,Choice beef byproduct allowance,33.4,Cents per pound of retail equivalent
2025,March,3,Choice beef byproduct allowance,32.2,Cents per pound of retail equivalent
2025,April,4,Choice beef byproduct allowance,34.0,Cents per pound of retail equivalent
2025,May,5,Choice beef byproduct allowance,31.1,Cents per pound of retail equivalent
2025,June,6,Choice beef byproduct allowance,31.6,Cents per pound of retail equivalent
2025,July,7,Choice beef byproduct allowance,33.2,Cents per pound of retail equivalent
2025,August,8,Choice beef byproduct allowance,33.4,Cents per pound of retail equivalent
2019,Annual,17,Choice beef net farm value,257.2,Cents per pound of retail equivalent
2020,Annual,17,Choice beef net farm value,243.5,Cents per pound of retail equivalent
2021,Annual,17,Choice beef net farm value,266.8,Cents per pound of retail equivalent
2022,Annual,17,Choice beef net farm value,307.4,Cents per pound of retail equivalent
2023,Annual,17,Choice beef net farm value,381.8,Cents per pound of retail equivalent
2024,Annual,17,Choice beef net farm value,413.3,Cents per pound of retail equivalent
2022,"Quarter 3, July-September",15,Choice beef net farm value,300.0,Cents per pound of retail equivalent
2022,"Quarter 4, October-December",16,Choice beef net farm value,324.2,Cents per pound of retail equivalent
2023,"Quarter 1, January-March",13,Choice beef net farm value,350.9,Cents per pound of retail equivalent
2023,"Quarter 2, April-June",14,Choice beef net farm value,387.1,Cents per pound of retail equivalent
2023,"Quarter 3, July-September",15,Choice beef net farm value,396.7,Cents per pound of retail equivalent
2023,"Quarter 4, October-December",16,Choice beef net farm value,392.6,Cents per pound of retail equivalent
2024,"Quarter 1, January-March",13,Choice beef net farm value,400.6,Cents per pound of retail equivalent
2024,"Quarter 2, April-June",14,Choice beef net farm value,414.4,Cents per pound of retail equivalent
2024,"Quarter 3, July-September",15,Choice beef net farm value,415.3,Cents per pound of retail equivalent
2024,"Quarter 4, October-December",16,Choice beef net farm value,422.9,Cents per pound of retail equivalent
2025,"Quarter 1, January-March",13,Choice beef net farm value,452.9,Cents per pound of retail equivalent
2025,"Quarter 2, April-June",14,Choice beef net farm value,502.1,Cents per pound of retail equivalent
2023,September,9,Choice beef net farm value,399.8,Cents per pound of retail equivalent
2023,October,10,Choice beef net farm value,403.4,Cents per pound of retail equivalent
2023,November,11,Choice beef net farm value,394.5,Cents per pound of retail equivalent
2023,December,12,Choice beef net farm value,379.8,Cents per pound of retail equivalent
2024,January,1,Choice beef net farm value,386.9,Cents per pound of retail equivalent
2024,February,2,Choice beef net farm value,399.9,Cents per pound of retail equivalent
2024,March,3,Choice beef net farm value,416.0,Cents per pound of retail equivalent
2024,April,4,Choice beef net farm value,406.7,Cents per pound of retail equivalent
2024,May,5,Choice beef net farm value,415.2,Cents per pound of retail equivalent
2024,June,6,Choice beef net farm value,421.2,Cents per pound of retail equivalent
2024,July,7,Choice beef net farm value,422.6,Cents per pound of retail equivalent
2024,August,8,Choice beef net farm value,415.0,Cents per pound of retail equivalent
2024,September,9,Choice beef net farm value,408.7,Cents per pound of retail equivalent
2024,October,10,Choice beef net farm value,421.2,Cents per pound of retail equivalent
2024,November,11,Choice beef net farm value,419.4,Cents per pound of retail equivalent
2024,December,12,Choice beef net farm value,428.4,Cents per pound of retail equivalent
2025,January,1,Choice beef net farm value,450.3,Cents per pound of retail equivalent
2025,February,2,Choice beef net farm value,449.9,Cents per pound of retail equivalent
2025,March,3,Choice beef net farm value,459.1,Cents per pound of retail equivalent
2025,April,4,Choice beef net farm value,488.8,Cents per pound of retail equivalent
2025,May,5,Choice beef net farm value,497.5,Cents per pound of retail equivalent
2025,June,6,Choice beef net farm value,519.8,Cents per pound of retail equivalent
2025,July,7,Choice beef net farm value,516.1,Cents per pound of retail equivalent
2025,August,8,Choice beef net farm value,538.0,Cents per pound of retail equivalent
2019,Annual,17,"Choice beef price spread, farm to retail",347.1,Cents per pound of retail equivalent
2020,Annual,17,"Choice beef price spread, farm to retail",410.1,Cents per pound of retail equivalent
2021,Annual,17,"Choice beef price spread, farm to retail",458.1,Cents per pound of retail equivalent
2022,Annual,17,"Choice beef price spread, farm to retail",451.1,Cents per pound of retail equivalent
2023,Annual,17,"Choice beef price spread, farm to retail",416.5,Cents per pound of retail equivalent
2024,Annual,17,"Choice beef price spread, farm to retail",410.2,Cents per pound of retail equivalent
2022,"Quarter 3, July-September",15,"Choice beef price spread, farm to retail",459.8,Cents per pound of retail equivalent
2022,"Quarter 4, October-December",16,"Choice beef price spread, farm to retail",417.0,Cents per pound of retail equivalent
2023,"Quarter 1, January-March",13,"Choice beef price spread, farm to retail",409.0,Cents per pound of retail equivalent
2023,"Quarter 2, April-June",14,"Choice beef price spread, farm to retail",415.3,Cents per pound of retail equivalent
2023,"Quarter 3, July-September",15,"Choice beef price spread, farm to retail",427.0,Cents per pound of retail equivalent
2023,"Quarter 4, October-December",16,"Choice beef price spread, farm to retail",414.6,Cents per pound of retail equivalent
2024,"Quarter 1, January-March",13,"Choice beef price spread, farm to retail",408.6,Cents per pound of retail equivalent
2024,"Quarter 2, April-June",14,"Choice beef price spread, farm to retail",398.3,Cents per pound of retail equivalent
2024,"Quarter 3, July-September",15,"Choice beef price spread, farm to retail",429.9,Cents per pound of retail equivalent
2024,"Quarter 4, October-December",16,"Choice beef price spread, farm to retail",404.1,Cents per pound of retail equivalent
2025,"Quarter 1, January-March",13,"Choice beef price spread, farm to retail",410.3,Cents per pound of retail equivalent
2025,"Quarter 2, April-June",14,"Choice beef price spread, farm to retail",395.0,Cents per pound of retail equivalent
2023,September,9,"Choice beef price spread, farm to retail",418.3,Cents per pound of retail equivalent
2023,October,10,"Choice beef price spread, farm to retail",413.2,Cents per pound of retail equivalent
2023,November,11,"Choice beef price spread, farm to retail",409.4,Cents per pound of retail equivalent
2023,December,12,"Choice beef price spread, farm to retail",421.3,Cents per pound of retail equivalent
2024,January,1,"Choice beef price spread, farm to retail",420.9,Cents per pound of retail equivalent
2024,February,2,"Choice beef price spread, farm to retail",408.0,Cents per pound of retail equivalent
2024,March,3,"Choice beef price spread, farm to retail",396.0,Cents per pound of retail equivalent
2024,April,4,"Choice beef price spread, farm to retail",408.4,Cents per pound of retail equivalent
2024,May,5,"Choice beef price spread, farm to retail",395.9,Cents per pound of retail equivalent
2024,June,6,"Choice beef price spread, farm to retail",390.7,Cents per pound of retail equivalent
2024,July,7,"Choice beef price spread, farm to retail",420.7,Cents per pound of retail equivalent
2024,August,8,"Choice beef price spread, farm to retail",436.5,Cents per pound of retail equivalent
2024,September,9,"Choice beef price spread, farm to retail",432.1,Cents per pound of retail equivalent
2024,October,10,"Choice beef price spread, farm to retail",389.5,Cents per pound of retail equivalent
2024,November,11,"Choice beef price spread, farm to retail",413.0,Cents per pound of retail equivalent
2024,December,12,"Choice beef price spread, farm to retail",409.5,Cents per pound of retail equivalent
2025,January,1,"Choice beef price spread, farm to retail",402.3,Cents per pound of retail equivalent
2025,February,2,"Choice beef price spread, farm to retail",413.8,Cents per pound of retail equivalent
2025,March,3,"Choice beef price spread, farm to retail",415.4,Cents per pound of retail equivalent
2025,April,4,"Choice beef price spread, farm to retail",394.4,Cents per pound of retail equivalent
2025,May,5,"Choice beef price spread, farm to retail",383.6,Cents per pound of retail equivalent
2025,June,6,"Choice beef price spread, farm to retail",406.8,Cents per pound of retail equivalent
2025,July,7,"Choice beef price spread, farm to retail",452.9,Cents per pound of retail equivalent
2025,August,8,"Choice beef price spread, farm to retail",447.2,Cents per pound of retail equivalent
2019,Annual,17,"Choice beef price spread, farm to wholesale",83.7,Cents per pound of retail equivalent
2020,Annual,17,"Choice beef price spread, farm to wholesale",119.7,Cents per pound of retail equivalent
2021,Annual,17,"Choice beef price spread, farm to wholesale",157.1,Cents per pound of retail equivalent
2022,Annual,17,"Choice beef price spread, farm to wholesale",90.3,Cents per pound of retail equivalent
2023,Annual,17,"Choice beef price spread, farm to wholesale",71.1,Cents per pound of retail equivalent
2024,Annual,17,"Choice beef price spread, farm to wholesale",55.4,Cents per pound of retail equivalent
2022,"Quarter 3, July-September",15,"Choice beef price spread, farm to wholesale",94.4,Cents per pound of retail equivalent
2022,"Quarter 4, October-December",16,"Choice beef price spread, farm to wholesale",63.5,Cents per pound of retail equivalent
2023,"Quarter 1, January-March",13,"Choice beef price spread, farm to wholesale",70.8,Cents per pound of retail equivalent
2023,"Quarter 2, April-June",14,"Choice beef price spread, farm to wholesale",84.9,Cents per pound of retail equivalent
2023,"Quarter 3, July-September",15,"Choice beef price spread, farm to wholesale",69.5,Cents per pound of retail equivalent
2023,"Quarter 4, October-December",16,"Choice beef price spread, farm to wholesale",59.2,Cents per pound of retail equivalent
2024,"Quarter 1, January-March",13,"Choice beef price spread, farm to wholesale",54.7,Cents per pound of retail equivalent
2024,"Quarter 2, April-June",14,"Choice beef price spread, farm to wholesale",53.2,Cents per pound of retail equivalent
2024,"Quarter 3, July-September",15,"Choice beef price spread, farm to wholesale",61.2,Cents per pound of retail equivalent
2024,"Quarter 4, October-December",16,"Choice beef price spread, farm to wholesale",52.5,Cents per pound of retail equivalent
2025,"Quarter 1, January-March",13,"Choice beef price spread, farm to wholesale",39.4,Cents per pound of retail equivalent
2025,"Quarter 2, April-June",14,"Choice beef price spread, farm to wholesale",38.3,Cents per pound of retail equivalent
2023,September,9,"Choice beef price spread, farm to wholesale",62.8,Cents per pound of retail equivalent
2023,October,10,"Choice beef price spread, farm to wholesale",55.3,Cents per pound of retail equivalent
2023,November,11,"Choice beef price spread, farm to wholesale",58.9,Cents per pound of retail equivalent
2023,December,12,"Choice beef price spread, farm to wholesale",63.2,Cents per pound of retail equivalent
2024,January,1,"Choice beef price spread, farm to wholesale",55.4,Cents per pound of retail equivalent
2024,February,2,"Choice beef price spread, farm to wholesale",52.6,Cents per pound of retail equivalent
2024,March,3,"Choice beef price spread, farm to wholesale",54.7,Cents per pound of retail equivalent
2024,April,4,"Choice beef price spread, farm to wholesale",47.7,Cents per pound of retail equivalent
2024,May,5,"Choice beef price spread, farm to wholesale",48.0,Cents per pound of retail equivalent
2024,June,6,"Choice beef price spread, farm to wholesale",64.9,Cents per pound of retail equivalent
2024,July,7,"Choice beef price spread, farm to wholesale",63.4,Cents per pound of retail equivalent
2024,August,8,"Choice beef price spread, farm to wholesale",63.0,Cents per pound of retail equivalent
2024,September,9,"Choice beef price spread, farm to wholesale",54.6,Cents per pound of retail equivalent
2024,October,10,"Choice beef price spread, farm to wholesale",55.7,Cents per pound of retail equivalent
2024,November,11,"Choice beef price spread, farm to wholesale",51.0,Cents per pound of retail equivalent
2024,December,12,"Choice beef price spread, farm to wholesale",50.0,Cents per pound of retail equivalent
2025,January,1,"Choice beef price spread, farm to wholesale",50.0,Cents per pound of retail equivalent
2025,February,2,"Choice beef price spread, farm to wholesale",33.2,Cents per pound of retail equivalent
2025,March,3,"Choice beef price spread, farm to wholesale",32.4,Cents per pound of retail equivalent
2025,April,4,"Choice beef price spread, farm to wholesale",23.5,Cents per pound of retail equivalent
2025,May,5,"Choice beef price spread, farm to wholesale",41.6,Cents per pound of retail equivalent
2025,June,6,"Choice beef price spread, farm to wholesale",57.0,Cents per pound of retail equivalent
2025,July,7,"Choice beef price spread, farm to wholesale",55.9,Cents per pound of retail equivalent
2025,August,8,"Choice beef price spread, farm to wholesale",61.7,Cents per pound of retail equivalent
2019,Annual,17,"Choice beef price spread, wholesale to retail",263.4,Cents per pound of retail equivalent
2020,Annual,17,"Choice beef price spread, wholesale to retail",290.4,Cents per pound of retail equivalent
2021,Annual,17,"Choice beef price spread, wholesale to retail",301.0,Cents per pound of retail equivalent
2022,Annual,17,"Choice beef price spread, wholesale to retail",360.8,Cents per pound of retail equivalent
2023,Annual,17,"Choice beef price spread, wholesale to retail",345.4,Cents per pound of retail equivalent
2024,Annual,17,"Choice beef price spread, wholesale to retail",354.8,Cents per pound of retail equivalent
2022,"Quarter 3, July-September",15,"Choice beef price spread, wholesale to retail",365.4,Cents per pound of retail equivalent
2022,"Quarter 4, October-December",16,"Choice beef price spread, wholesale to retail",353.5,Cents per pound of retail equivalent
2023,"Quarter 1, January-March",13,"Choice beef price spread, wholesale to retail",338.2,Cents per pound of retail equivalent
2023,"Quarter 2, April-June",14,"Choice beef price spread, wholesale to retail",330.4,Cents per pound of retail equivalent
2023,"Quarter 3, July-September",15,"Choice beef price spread, wholesale to retail",357.5,Cents per pound of retail equivalent
2023,"Quarter 4, October-December",16,"Choice beef price spread, wholesale to retail",355.4,Cents per pound of retail equivalent
2024,"Quarter 1, January-March",13,"Choice beef price spread, wholesale to retail",353.9,Cents per pound of retail equivalent
2024,"Quarter 2, April-June",14,"Choice beef price spread, wholesale to retail",345.1,Cents per pound of retail equivalent
2024,"Quarter 3, July-September",15,"Choice beef price spread, wholesale to retail",368.7,Cents per pound of retail equivalent
2024,"Quarter 4, October-December",16,"Choice beef price spread, wholesale to retail",351.6,Cents per pound of retail equivalent
2025,"Quarter 1, January-March",13,"Choice beef price spread, wholesale to retail",370.9,Cents per pound of retail equivalent
2025,"Quarter 2, April-June",14,"Choice beef price spread, wholesale to retail",356.7,Cents per pound of retail equivalent
2023,September,9,"Choice beef price spread, wholesale to retail",355.5,Cents per pound of retail equivalent
2023,October,10,"Choice beef price spread, wholesale to retail",357.9,Cents per pound of retail equivalent
2023,November,11,"Choice beef price spread, wholesale to retail",350.5,Cents per pound of retail equivalent
2023,December,12,"Choice beef price spread, wholesale to retail",358.1,Cents per pound of retail equivalent
2024,January,1,"Choice beef price spread, wholesale to retail",365.5,Cents per pound of retail equivalent
2024,February,2,"Choice beef price spread, wholesale to retail",355.4,Cents per pound of retail equivalent
2024,March,3,"Choice beef price spread, wholesale to retail",341.3,Cents per pound of retail equivalent
2024,April,4,"Choice beef price spread, wholesale to retail",360.7,Cents per pound of retail equivalent
2024,May,5,"Choice beef price spread, wholesale to retail",347.9,Cents per pound of retail equivalent
2024,June,6,"Choice beef price spread, wholesale to retail",325.8,Cents per pound of retail equivalent
2024,July,7,"Choice beef price spread, wholesale to retail",357.3,Cents per pound of retail equivalent
2024,August,8,"Choice beef price spread, wholesale to retail",373.5,Cents per pound of retail equivalent
2024,September,9,"Choice beef price spread, wholesale to retail",377.5,Cents per pound of retail equivalent
2024,October,10,"Choice beef price spread, wholesale to retail",333.8,Cents per pound of retail equivalent
2024,November,11,"Choice beef price spread, wholesale to retail",362.0,Cents per pound of retail equivalent
2024,December,12,"Choice beef price spread, wholesale to retail",359.5,Cents per pound of retail equivalent
2025,January,1,"Choice beef price spread, wholesale to retail",352.3,Cents per pound of retail equivalent
2025,February,2,"Choice beef price spread, wholesale to retail",380.6,Cents per pound of retail equivalent
2025,March,3,"Choice beef price spread, wholesale to retail",383.0,Cents per pound of retail equivalent
2025,April,4,"Choice beef price spread, wholesale to retail",370.9,Cents per pound of retail equivalent
2025,May,5,"Choice beef price spread, wholesale to retail",342.0,Cents per pound of retail equivalent
2025,June,6,"Choice beef price spread, wholesale to retail",349.8,Cents per pound of retail equivalent
2025,July,7,"Choice beef price spread, wholesale to retail",397.0,Cents per pound of retail equivalent
2025,August,8,"Choice beef price spread, wholesale to retail",385.5,Cents per pound of retail equivalent
2019,Annual,17,Choice beef farmers' share of retail beef dollar,42.6,Percent
