"commodity_desc","geography_desc","attribute_desc","unit_desc","timeperiod_desc","year_id","month_id","amount"
"Cattle","High Plains","Cost per 100 pounds gain: Variable cost less interest","dollars per hundredweight","Jul-24 to Nov-24",2024,7,"70.358003417705532"
"Cattle","High Plains","Cost per 100 pounds gain: Feed costs","dollars per hundredweight","Jul-24 to Nov-24",2024,7,"65.954826485628274"
"Cattle","High Plains","Cost per 100 pounds gain: Total costs","dollars per hundredweight","Jul-24 to Nov-24",2024,7,"92.105913559108075"
"Cattle","OK City","Prices: Choice feeder steer 750-800 pounds","dollars per hundredweight","Jul-24 to Nov-24",2024,7,"263.0626148409894"
"Cattle","High Plains","Prices: Feed, Prices, High Plains Milo ","dollars per hundredweight","Jul-24 to Nov-24",2024,7,"6.9708387445887441"
"Cattle","High Plains","Prices: Feed, Prices, High Plains Corn","dollars per hundredweight","Jul-24 to Nov-24",2024,7,"8.3947348484848483"
"Cattle","High Plains","Prices: Feed, Prices, High Plains Wheat","dollars per hundredweight","Jul-24 to Nov-24",2024,7,"8.1219621212121211"
"Cattle","High Plains","Prices: Cottonseed meal (41 percent)","dollars per hundredweight","Jul-24 to Nov-24",2024,7,"19.25"
"Cattle","High Plains","Prices: Cottonseed meal Alfalfa hay","dollars per ton","Jul-24 to Nov-24",2024,7,"280"
"Cattle","High Plains","Prices: Interest, annual rate","percent","Jul-24 to Nov-24",2024,7,"9.19"
"Cattle","High Plains","Expenses: 750 pound feeder steer","dollars per head","Aug-24 to Dec-24",2024,8,"1865.0986334405145"
"Cattle","High Plains","Expenses: Total feed, handling, and management charge","dollars per head","Aug-24 to Dec-24",2024,8,"288.62876945809415"
"Cattle","High Plains","Expenses: Interest on feeder and 1/2 feed","dollars per head","Aug-24 to Dec-24",2024,8,"92.332528184891345"
"Cattle","High Plains","Expenses: Death loss (1 percent of purchase)","dollars per head","Aug-24 to Dec-24",2024,8,"18.650986334405147"
"Cattle","High Plains","Marketing","dollars per head","Aug-24 to Dec-24",2024,8,"f.o.b."
"Cattle","High Plains","Expenses: Total expenses","dollars per head","Aug-24 to Dec-24",2024,8,"2264.710917417905"
"Cattle","High Plains","Selling price required to cover: Feed and feeder cost","dollars per hundredweight","Aug-24 to Dec-24",2024,8,"179.40801712960393"
"Cattle","High Plains","Selling price required to cover: All costs","dollars per hundredweight","Aug-24 to Dec-24",2024,8,"188.65307397718075"
"Cattle","High Plains","Selling price required to cover: Selling price","dollars per hundredweight","Aug-24 to Dec-24",2024,8,"191.25"
"Cattle","High Plains","Selling price required to cover: Net margin","dollars per hundredweight","Aug-24 to Dec-24",2024,8,"2.5969260228192468"
"Cattle","High Plains","Cost per 100 pounds gain: Variable cost less interest","dollars per hundredweight","Aug-24 to Dec-24",2024,8,"68.214159908809265"
"Cattle","High Plains","Cost per 100 pounds gain: Feed costs","dollars per hundredweight","Aug-24 to Dec-24",2024,8,"64.073759051646206"
"Cattle","High Plains","Cost per 100 pounds gain: Total costs","dollars per hundredweight","Aug-24 to Dec-24",2024,8,"88.711396461685226"
"Cattle","OK City","Prices: Choice feeder steer 750-800 pounds","dollars per hundredweight","Aug-24 to Dec-24",2024,8,"247.2798177920686"
"Cattle","High Plains","Prices: Feed, Prices, High Plains Milo ","dollars per hundredweight","Aug-24 to Dec-24",2024,8,"6.7443425324675319"
"Cattle","High Plains","Prices: Feed, Prices, High Plains Corn","dollars per hundredweight","Aug-24 to Dec-24",2024,8,"8.1526271645021637"
"Cattle","High Plains","Prices: Feed, Prices, High Plains Wheat","dollars per hundredweight","Aug-24 to Dec-24",2024,8,"7.6596489898989901"
"Cattle","High Plains","Prices: Cottonseed meal (41 percent)","dollars per hundredweight","Aug-24 to Dec-24",2024,8,"18.7"
"Cattle","High Plains","Prices: Cottonseed meal Alfalfa hay","dollars per ton","Aug-24 to Dec-24",2024,8,"275"
"Cattle","High Plains","Prices: Interest, annual rate","percent","Aug-24 to Dec-24",2024,8,"9.19"
"Cattle","High Plains","Expenses: 750 pound feeder steer","dollars per head","Sep-24 to Jan-25",2024,9,"1861.35"
"Cattle","High Plains","Expenses: Total feed, handling, and management charge","dollars per head","Sep-24 to Jan-25",2024,9,"309.09463967046781"
"Cattle","High Plains","Expenses: Interest on feeder and 1/2 feed","dollars per head","Sep-24 to Jan-25",2024,9,"92.630481846428978"
"Cattle","High Plains","Expenses: Death loss (1 percent of purchase)","dollars per head","Sep-24 to Jan-25",2024,9,"18.613499999999998"
"Cattle","High Plains","Marketing","dollars per head","Sep-24 to Jan-25",2024,9,"f.o.b."
"Cattle","High Plains","Expenses: Total expenses","dollars per head","Sep-24 to Jan-25",2024,9,"2281.688621516897"
"Cattle","High Plains","Selling price required to cover: Feed and feeder cost","dollars per hundredweight","Sep-24 to Jan-25",2024,9,"180.8005825476271"
"Cattle","High Plains","Selling price required to cover: All costs","dollars per hundredweight","Sep-24 to Jan-25",2024,9,"190.06733662885799"
"Cattle","High Plains","Selling price required to cover: Selling price","dollars per hundredweight","Sep-24 to Jan-25",2024,9,"200.39"
"Cattle","High Plains","Selling price required to cover: Net margin","dollars per hundredweight","Sep-24 to Jan-25",2024,9,"10.322663371141999"
"Cattle","High Plains","Cost per 100 pounds gain: Variable cost less interest","dollars per hundredweight","Sep-24 to Jan-25",2024,9,"72.749131765111201"
"Cattle","High Plains","Cost per 100 pounds gain: Feed costs","dollars per hundredweight","Sep-24 to Jan-25",2024,9,"68.617052636800352"
"Cattle","High Plains","Cost per 100 pounds gain: Total costs","dollars per hundredweight","Sep-24 to Jan-25",2024,9,"93.312512144029753"
"Cattle","OK City","Prices: Choice feeder steer 750-800 pounds","dollars per hundredweight","Sep-24 to Jan-25",2024,9,"246.78"
"Cattle","High Plains","Prices: Feed, Prices, High Plains Milo ","dollars per hundredweight","Sep-24 to Jan-25",2024,9,"7.3016755952380938"
"Cattle","High Plains","Prices: Feed, Prices, High Plains Corn","dollars per hundredweight","Sep-24 to Jan-25",2024,9,"8.3661815476190462"
"Cattle","High Plains","Prices: Feed, Prices, High Plains Wheat","dollars per hundredweight","Sep-24 to Jan-25",2024,9,"8.1184277777777787"
"Cattle","High Plains","Prices: Cottonseed meal (41 percent)","dollars per hundredweight","Sep-24 to Jan-25",2024,9,"18.25"
"Cattle","High Plains","Prices: Cottonseed meal Alfalfa hay","dollars per ton","Sep-24 to Jan-25",2024,9,"270"
"Cattle","High Plains","Prices: Interest, annual rate","percent","Sep-24 to Jan-25",2024,9,"9.19"
"Cattle","High Plains","Expenses: 750 pound feeder steer","dollars per head","Oct-24 to Feb-25",2024,10,"1916.9369069343068"
"Cattle","High Plains","Expenses: Total feed, handling, and management charge","dollars per head","Oct-24 to Feb-25",2024,10,"316.75869131764648"
"Cattle","High Plains","Expenses: Interest on feeder and 1/2 feed","dollars per head","Oct-24 to Feb-25",2024,10,"90.483788613060483"
"Cattle","High Plains","Expenses: Death loss (1 percent of purchase)","dollars per head","Oct-24 to Feb-25",2024,10,"19.16936906934307"
"Cattle","High Plains","Marketing","dollars per head","Oct-24 to Feb-25",2024,10,"f.o.b."
"Cattle","High Plains","Expenses: Total expenses","dollars per head","Oct-24 to Feb-25",2024,10,"2343.3487559343566"
"Cattle","High Plains","Selling price required to cover: Feed and feeder cost","dollars per hundredweight","Oct-24 to Feb-25",2024,10,"187.75739029842472"
"Cattle","High Plains","Selling price required to cover: All costs","dollars per hundredweight","Oct-24 to Feb-25",2024,10,"196.97448807152401"
"Cattle","High Plains","Selling price required to cover: Selling price","dollars per hundredweight","Oct-24 to Feb-25",2024,10,"202.83"
"Cattle","High Plains","Selling price required to cover: Net margin","dollars per hundredweight","Oct-24 to Feb-25",2024,10,"5.8555119284760053"
"Cattle","High Plains","Cost per 100 pounds gain: Variable cost less interest","dollars per hundredweight","Oct-24 to Feb-25",2024,10,"76.40438136202448"
"Cattle","High Plains","Cost per 100 pounds gain: Feed costs","dollars per hundredweight","Oct-24 to Feb-25",2024,10,"72.044448514627859"
"Cattle","High Plains","Cost per 100 pounds gain: Total costs","dollars per hundredweight","Oct-24 to Feb-25",2024,10,"96.98425755429281"
"Cattle","OK City","Prices: Choice feeder steer 750-800 pounds","dollars per hundredweight","Oct-24 to Feb-25",2024,10,"254.1915875912409"
"Cattle","High Plains","Prices: Feed, Prices, High Plains Milo ","dollars per hundredweight","Oct-24 to Feb-25",2024,10,"7.445346320346319"
"Cattle","High Plains","Prices: Feed, Prices, High Plains Corn","dollars per hundredweight","Oct-24 to Feb-25",2024,10,"8.5384983766233766"
"Cattle","High Plains","Prices: Feed, Prices, High Plains Wheat","dollars per hundredweight","Oct-24 to Feb-25",2024,10,"8.2981085858585857"
"Cattle","High Plains","Prices: Cottonseed meal (41 percent)","dollars per hundredweight","Oct-24 to Feb-25",2024,10,"18.25"
"Cattle","High Plains","Prices: Cottonseed meal Alfalfa hay","dollars per ton","Oct-24 to Feb-25",2024,10,"248"
"Cattle","High Plains","Prices: Interest, annual rate","percent","Oct-24 to Feb-25",2024,10,"8.7200000000000006"
"Cattle","High Plains","Expenses: 750 pound feeder steer","dollars per head","Nov-24 to Mar-25",2024,11,"1906.495890410959"
"Cattle","High Plains","Expenses: Total feed, handling, and management charge","dollars per head","Nov-24 to Mar-25",2024,11,"322.31217213436798"
"Cattle","High Plains","Expenses: Interest on feeder and 1/2 feed","dollars per head","Nov-24 to Mar-25",2024,11,"90.149626174447022"
"Cattle","High Plains","Expenses: Death loss (1 percent of purchase)","dollars per head","Nov-24 to Mar-25",2024,11,"19.064958904109591"
"Cattle","High Plains","Marketing","dollars per head","Nov-24 to Mar-25",2024,11,"f.o.b."
"Cattle","High Plains","Expenses: Total expenses","dollars per head","Nov-24 to Mar-25",2024,11,"2338.0226476238831"
"Cattle","High Plains","Selling price required to cover: Feed and feeder cost","dollars per hundredweight","Nov-24 to Mar-25",2024,11,"187.3465594985679"
"Cattle","High Plains","Selling price required to cover: All costs","dollars per hundredweight","Nov-24 to Mar-25",2024,11,"196.52679224510797"
"Cattle","High Plains","Selling price required to cover: Selling price","dollars per hundredweight","Nov-24 to Mar-25",2024,11,"203.59"
"Cattle","High Plains","Selling price required to cover: Net margin","dollars per hundredweight","Nov-24 to Mar-25",2024,11,"7.0632077548920336"
"Cattle","High Plains","Cost per 100 pounds gain: Variable cost less interest","dollars per hundredweight","Nov-24 to Mar-25",2024,11,"77.643732643502048"
"Cattle","High Plains","Cost per 100 pounds gain: Feed costs","dollars per hundredweight","Nov-24 to Mar-25",2024,11,"73.307547124844206"
"Cattle","High Plains","Cost per 100 pounds gain: Total costs","dollars per hundredweight","Nov-24 to Mar-25",2024,11,"98.147606032172263"
"Cattle","OK City","Prices: Choice feeder steer 750-800 pounds","dollars per hundredweight","Nov-24 to Mar-25",2024,11,"252.79945205479453"
"Cattle","High Plains","Prices: Feed, Prices, High Plains Milo ","dollars per hundredweight","Nov-24 to Mar-25",2024,11,"7.6491815476190466"
"Cattle","High Plains","Prices: Feed, Prices, High Plains Corn","dollars per hundredweight","Nov-24 to Mar-25",2024,11,"8.6917410714285719"
"Cattle","High Plains","Prices: Feed, Prices, High Plains Wheat","dollars per hundredweight","Nov-24 to Mar-25",2024,11,"7.6744722222222226"
"Cattle","High Plains","Prices: Cottonseed meal (41 percent)","dollars per hundredweight","Nov-24 to Mar-25",2024,11,"17.75"
"Cattle","High Plains","Prices: Cottonseed meal Alfalfa hay","dollars per ton","Nov-24 to Mar-25",2024,11,"235"
"Cattle","High Plains","Prices: Interest, annual rate","percent","Nov-24 to Mar-25",2024,11,"8.7200000000000006"
"Cattle","High Plains","Expenses: 750 pound feeder steer","dollars per head","Dec-24 to Apr-25",2024,12,"2023.8842908438057"
"Cattle","High Plains","Expenses: Total feed, handling, and management charge","dollars per head","Dec-24 to Apr-25",2024,12,"326.06624583700398"
"Cattle","High Plains","Expenses: Interest on feeder and 1/2 feed","dollars per head","Dec-24 to Apr-25",2024,12,"95.349599240036611"
"Cattle","High Plains","Expenses: Death loss (1 percent of purchase)","dollars per head","Dec-24 to Apr-25",2024,12,"20.238842908438059"
"Cattle","High Plains","Marketing","dollars per head","Dec-24 to Apr-25",2024,12,"f.o.b."
"Cattle","High Plains","Expenses: Total expenses","dollars per head","Dec-24 to Apr-25",2024,12,"2465.5389788292846"
"Cattle","High Plains","Selling price required to cover: Feed and feeder cost","dollars per hundredweight","Dec-24 to Apr-25",2024,12,"197.5294128899489"
"Cattle","High Plains","Selling price required to cover: All costs","dollars per hundredweight","Dec-24 to Apr-25",2024,12,"207.24541191123097"
"Cattle","High Plains","Selling price required to cover: Selling price","dollars per hundredweight","Dec-24 to Apr-25",2024,12,"213.25"
"Cattle","High Plains","Selling price required to cover: Net margin","dollars per hundredweight","Dec-24 to Apr-25",2024,12,"6.0045880887690259"
"Cattle","High Plains","Cost per 100 pounds gain: Variable cost less interest","dollars per hundredweight","Dec-24 to Apr-25",2024,12,"78.76456059560924"
"Cattle","High Plains","Cost per 100 pounds gain: Feed costs","dollars per hundredweight","Dec-24 to Apr-25",2024,12,"74.161383742442979"
"Cattle","High Plains","Cost per 100 pounds gain: Total costs","dollars per hundredweight","Dec-24 to Apr-25",2024,12,"100.4511298409991"
"Cattle","OK City","Prices: Choice feeder steer 750-800 pounds","dollars per hundredweight","Dec-24 to Apr-25",2024,12,"268.4512387791741"
"Cattle","High Plains","Prices: Feed, Prices, High Plains Milo ","dollars per hundredweight","Dec-24 to Apr-25",2024,12,"7.7571967120181409"
"Cattle","High Plains","Prices: Feed, Prices, High Plains Corn","dollars per hundredweight","Dec-24 to Apr-25",2024,12,"8.975700113378684"
"Cattle","High Plains","Prices: Feed, Prices, High Plains Wheat","dollars per hundredweight","Dec-24 to Apr-25",2024,12,"7.5992301587301592"
"Cattle","High Plains","Prices: Cottonseed meal (41 percent)","dollars per hundredweight","Dec-24 to Apr-25",2024,12,"16.25"
"Cattle","High Plains","Prices: Cottonseed meal Alfalfa hay","dollars per ton","Dec-24 to Apr-25",2024,12,"231"
"Cattle","High Plains","Prices: Interest, annual rate","percent","Dec-24 to Apr-25",2024,12,"8.7200000000000006"
"Cattle","High Plains","Expenses: 750 pound feeder steer","dollars per head","Jan-25 to May-25",2025,1,"2068.875"
"Cattle","High Plains","Expenses: Total feed, handling, and management charge","dollars per head","Jan-25 to May-25",2025,1,"330.91127187511432"
"Cattle","High Plains","Expenses: Interest on feeder and 1/2 feed","dollars per head","Jan-25 to May-25",2025,1,"96.411366940705591"
"Cattle","High Plains","Expenses: Death loss (1 percent of purchase)","dollars per head","Jan-25 to May-25",2025,1,"20.688749999999999"
"Cattle","High Plains","Marketing","dollars per head","Jan-25 to May-25",2025,1,"f.o.b."
"Cattle","High Plains","Expenses: Total expenses","dollars per head","Jan-25 to May-25",2025,1,"2516.8863888158198"
"Cattle","High Plains","Selling price required to cover: Feed and feeder cost","dollars per hundredweight","Jan-25 to May-25",2025,1,"205.14053351334147"
"Cattle","High Plains","Selling price required to cover: All costs","dollars per hundredweight","Jan-25 to May-25",2025,1,"215.15058346871564"
"Cattle","High Plains","Selling price required to cover: Selling price","dollars per hundredweight","Jan-25 to May-25",2025,1,"220.22"
"Cattle","High Plains","Selling price required to cover: Net margin","dollars per hundredweight","Jan-25 to May-25",2025,1,"5.0694165312843609"
"Cattle","High Plains","Cost per 100 pounds gain: Variable cost less interest","dollars per hundredweight","Jan-25 to May-25",2025,1,"83.74908667413348"
"Cattle","High Plains","Cost per 100 pounds gain: Feed costs","dollars per hundredweight","Jan-25 to May-25",2025,1,"78.821146375128322"
"Cattle","High Plains","Cost per 100 pounds gain: Total costs","dollars per hundredweight","Jan-25 to May-25",2025,1,"106.71371529738424"
"Cattle","OK City","Prices: Choice feeder steer 750-800 pounds","dollars per hundredweight","Jan-25 to May-25",2025,1,"274.45"
"Cattle","High Plains","Prices: Feed, Prices, High Plains Milo ","dollars per hundredweight","Jan-25 to May-25",2025,1,"8.2241071428571413"
"Cattle","High Plains","Prices: Feed, Prices, High Plains Corn","dollars per hundredweight","Jan-25 to May-25",2025,1,"9.3064970238095235"
"Cattle","High Plains","Prices: Feed, Prices, High Plains Wheat","dollars per hundredweight","Jan-25 to May-25",2025,1,"7.7540583333333331"
"Cattle","High Plains","Prices: Cottonseed meal (41 percent)","dollars per hundredweight","Jan-25 to May-25",2025,1,"15.95"
"Cattle","High Plains","Prices: Cottonseed meal Alfalfa hay","dollars per ton","Jan-25 to May-25",2025,1,"234"
"Cattle","High Plains","Prices: Interest, annual rate","percent","Jan-25 to May-25",2025,1,"8.6300000000000008"
"Cattle","High Plains","Expenses: 750 pound feeder steer","dollars per head","Feb-25 to Jun-25",2025,2,"2040.5250000000001"
"Cattle","High Plains","Expenses: Total feed, handling, and management charge","dollars per head","Feb-25 to Jun-25",2025,2,"344.88378576155645"
"Cattle","High Plains","Expenses: Interest on feeder and 1/2 feed","dollars per head","Feb-25 to Jun-25",2025,2,"95.489521427805585"
"Cattle","High Plains","Expenses: Death loss (1 percent of purchase)","dollars per head","Feb-25 to Jun-25",2025,2,"20.405250000000002"
"Cattle","High Plains","Marketing","dollars per head","Feb-25 to Jun-25",2025,2,"f.o.b."
"Cattle","High Plains","Expenses: Total expenses","dollars per head","Feb-25 to Jun-25",2025,2,"2501.3035571893615"
"Cattle","High Plains","Selling price required to cover: Feed and feeder cost","dollars per hundredweight","Feb-25 to Jun-25",2025,2,"203.9115052425816"
"Cattle","High Plains","Selling price required to cover: All costs","dollars per hundredweight","Feb-25 to Jun-25",2025,2,"213.81851884655973"
"Cattle","High Plains","Selling price required to cover: Selling price","dollars per hundredweight","Feb-25 to Jun-25",2025,2,"228.36"
"Cattle","High Plains","Selling price required to cover: Net margin","dollars per hundredweight","Feb-25 to Jun-25",2025,2,"14.541481153440287"
"Cattle","High Plains","Cost per 100 pounds gain: Variable cost less interest","dollars per hundredweight","Feb-25 to Jun-25",2025,2,"87.009730414554596"
"Cattle","High Plains","Cost per 100 pounds gain: Feed costs","dollars per hundredweight","Feb-25 to Jun-25",2025,2,"82.149318171849131"
"Cattle","High Plains","Cost per 100 pounds gain: Total costs","dollars per hundredweight","Feb-25 to Jun-25",2025,2,"109.7547807813869"
"Cattle","OK City","Prices: Choice feeder steer 750-800 pounds","dollars per hundredweight","Feb-25 to Jun-25",2025,2,"270.67"
"Cattle","High Plains","Prices: Feed, Prices, High Plains Milo ","dollars per hundredweight","Feb-25 to Jun-25",2025,2,"8.3627036340852126"
"Cattle","High Plains","Prices: Feed, Prices, High Plains Corn","dollars per hundredweight","Feb-25 to Jun-25",2025,2,"9.4211810776942357"
"Cattle","High Plains","Prices: Feed, Prices, High Plains Wheat","dollars per hundredweight","Feb-25 to Jun-25",2025,2,"8.3734064327485385"
"Cattle","High Plains","Prices: Cottonseed meal (41 percent)","dollars per hundredweight","Feb-25 to Jun-25",2025,2,"14.75"
"Cattle","High Plains","Prices: Cottonseed meal Alfalfa hay","dollars per ton","Feb-25 to Jun-25",2025,2,"231"
