Year,Month,Month-number,Data_Item,Value,Units
1973,August,8,Pork byproduct value,9.800000000000000000000000000000,Cents per pound of retail equivalent
1973,September,9,Pork byproduct value,7.100000000000000000000000000000,Cents per pound of retail equivalent
1973,October,10,Pork byproduct value,7.400000000000000000000000000000,Cents per pound of retail equivalent
1973,November,11,Pork byproduct value,6.700000000000000000000000000000,Cents per pound of retail equivalent
1973,December,12,Pork byproduct value,6.300000000000000000000000000000,Cents per pound of retail equivalent
1974,January,1,Pork byproduct value,6.600000000000000000000000000000,Cents per pound of retail equivalent
1974,February,2,Pork byproduct value,7.300000000000000000000000000000,Cents per pound of retail equivalent
1974,March,3,Pork byproduct value,6.400000000000000000000000000000,Cents per pound of retail equivalent
1974,April,4,Pork byproduct value,5.300000000000000000000000000000,Cents per pound of retail equivalent
1974,May,5,Pork byproduct value,4.500000000000000000000000000000,Cents per pound of retail equivalent
1974,June,6,Pork byproduct value,4.400000000000000000000000000000,Cents per pound of retail equivalent
1974,July,7,Pork byproduct value,6.600000000000000000000000000000,Cents per pound of retail equivalent
1974,August,8,Pork byproduct value,6.600000000000000000000000000000,Cents per pound of retail equivalent
1974,September,9,Pork byproduct value,6.200000000000000000000000000000,Cents per pound of retail equivalent
1974,October,10,Pork byproduct value,7.600000000000000000000000000000,Cents per pound of retail equivalent
1974,November,11,Pork byproduct value,7.400000000000000000000000000000,Cents per pound of retail equivalent
1974,December,12,Pork byproduct value,7.300000000000000000000000000000,Cents per pound of retail equivalent
1975,January,1,Pork byproduct value,5.200000000000000000000000000000,Cents per pound of retail equivalent
1975,February,2,Pork byproduct value,5.600000000000000000000000000000,Cents per pound of retail equivalent
1975,March,3,Pork byproduct value,5.800000000000000000000000000000,Cents per pound of retail equivalent
1975,April,4,Pork byproduct value,5.900000000000000000000000000000,Cents per pound of retail equivalent
1975,May,5,Pork byproduct value,6.200000000000000000000000000000,Cents per pound of retail equivalent
1975,June,6,Pork byproduct value,6.900000000000000000000000000000,Cents per pound of retail equivalent
1975,July,7,Pork byproduct value,7.800000000000000000000000000000,Cents per pound of retail equivalent
1975,August,8,Pork byproduct value,7.800000000000000000000000000000,Cents per pound of retail equivalent
1975,September,9,Pork byproduct value,8.100000000000000000000000000000,Cents per pound of retail equivalent
1975,October,10,Pork byproduct value,8.000000000000000000000000000000,Cents per pound of retail equivalent
1975,November,11,Pork byproduct value,6.500000000000000000000000000000,Cents per pound of retail equivalent
1975,December,12,Pork byproduct value,5.400000000000000000000000000000,Cents per pound of retail equivalent
1976,January,1,Pork byproduct value,5.300000000000000000000000000000,Cents per pound of retail equivalent
1976,February,2,Pork byproduct value,5.600000000000000000000000000000,Cents per pound of retail equivalent
1976,March,3,Pork byproduct value,5.200000000000000000000000000000,Cents per pound of retail equivalent
1976,April,4,Pork byproduct value,5.200000000000000000000000000000,Cents per pound of retail equivalent
1976,May,5,Pork byproduct value,5.300000000000000000000000000000,Cents per pound of retail equivalent
1976,June,6,Pork byproduct value,5.400000000000000000000000000000,Cents per pound of retail equivalent
1976,July,7,Pork byproduct value,5.500000000000000000000000000000,Cents per pound of retail equivalent
1976,August,8,Pork byproduct value,5.200000000000000000000000000000,Cents per pound of retail equivalent
1976,September,9,Pork byproduct value,4.400000000000000000000000000000,Cents per pound of retail equivalent
1976,October,10,Pork byproduct value,3.400000000000000000000000000000,Cents per pound of retail equivalent
1976,November,11,Pork byproduct value,3.500000000000000000000000000000,Cents per pound of retail equivalent
1976,December,12,Pork byproduct value,4.100000000000000000000000000000,Cents per pound of retail equivalent
1977,January,1,Pork byproduct value,4.400000000000000000000000000000,Cents per pound of retail equivalent
1977,February,2,Pork byproduct value,4.700000000000000000000000000000,Cents per pound of retail equivalent
1977,March,3,Pork byproduct value,4.500000000000000000000000000000,Cents per pound of retail equivalent
1977,April,4,Pork byproduct value,4.500000000000000000000000000000,Cents per pound of retail equivalent
1977,May,5,Pork byproduct value,5.000000000000000000000000000000,Cents per pound of retail equivalent
1977,June,6,Pork byproduct value,4.900000000000000000000000000000,Cents per pound of retail equivalent
1977,July,7,Pork byproduct value,5.100000000000000000000000000000,Cents per pound of retail equivalent
1977,August,8,Pork byproduct value,4.800000000000000000000000000000,Cents per pound of retail equivalent
1977,September,9,Pork byproduct value,4.500000000000000000000000000000,Cents per pound of retail equivalent
1977,October,10,Pork byproduct value,4.400000000000000000000000000000,Cents per pound of retail equivalent
1977,November,11,Pork byproduct value,4.200000000000000000000000000000,Cents per pound of retail equivalent
1977,December,12,Pork byproduct value,4.500000000000000000000000000000,Cents per pound of retail equivalent
1978,January,1,Pork byproduct value,5.200000000000000000000000000000,Cents per pound of retail equivalent
1978,February,2,Pork byproduct value,5.600000000000000000000000000000,Cents per pound of retail equivalent
1978,March,3,Pork byproduct value,6.000000000000000000000000000000,Cents per pound of retail equivalent
1978,April,4,Pork byproduct value,5.600000000000000000000000000000,Cents per pound of retail equivalent
1978,May,5,Pork byproduct value,5.900000000000000000000000000000,Cents per pound of retail equivalent
1978,June,6,Pork byproduct value,6.000000000000000000000000000000,Cents per pound of retail equivalent
1978,July,7,Pork byproduct value,5.700000000000000000000000000000,Cents per pound of retail equivalent
1978,August,8,Pork byproduct value,6.000000000000000000000000000000,Cents per pound of retail equivalent
1978,September,9,Pork byproduct value,6.400000000000000000000000000000,Cents per pound of retail equivalent
1978,October,10,Pork byproduct value,6.500000000000000000000000000000,Cents per pound of retail equivalent
1978,November,11,Pork byproduct value,5.900000000000000000000000000000,Cents per pound of retail equivalent
1978,December,12,Pork byproduct value,5.900000000000000000000000000000,Cents per pound of retail equivalent
1979,January,1,Pork byproduct value,6.598400000000000000000000000000,Cents per pound of retail equivalent
1979,February,2,Pork byproduct value,7.526300000000000000000000000000,Cents per pound of retail equivalent
1979,March,3,Pork byproduct value,7.320100000000000000000000000000,Cents per pound of retail equivalent
1979,April,4,Pork byproduct value,5.979800000000000000000000000000,Cents per pound of retail equivalent
1979,May,5,Pork byproduct value,6.186000000000000000000000000000,Cents per pound of retail equivalent
1979,June,6,Pork byproduct value,5.464300000000000000000000000000,Cents per pound of retail equivalent
1979,July,7,Pork byproduct value,5.361200000000000000000000000000,Cents per pound of retail equivalent
1979,August,8,Pork byproduct value,5.155000000000000000000000000000,Cents per pound of retail equivalent
1979,September,9,Pork byproduct value,5.361200000000000000000000000000,Cents per pound of retail equivalent
1979,October,10,Pork byproduct value,4.948800000000000000000000000000,Cents per pound of retail equivalent
1979,November,11,Pork byproduct value,4.742600000000000000000000000000,Cents per pound of retail equivalent
1979,December,12,Pork byproduct value,4.845700000000000000000000000000,Cents per pound of retail equivalent
1980,January,1,Pork byproduct value,4.845700000000000000000000000000,Cents per pound of retail equivalent
1980,February,2,Pork byproduct value,4.948800000000000000000000000000,Cents per pound of retail equivalent
1980,March,3,Pork byproduct value,4.433300000000000000000000000000,Cents per pound of retail equivalent
1980,April,4,Pork byproduct value,3.814700000000000000000000000000,Cents per pound of retail equivalent
1980,May,5,Pork byproduct value,3.814700000000000000000000000000,Cents per pound of retail equivalent
1980,June,6,Pork byproduct value,4.227100000000000000000000000000,Cents per pound of retail equivalent
1980,July,7,Pork byproduct value,5.361200000000000000000000000000,Cents per pound of retail equivalent
1980,August,8,Pork byproduct value,6.082900000000000000000000000000,Cents per pound of retail equivalent
1980,September,9,Pork byproduct value,6.082900000000000000000000000000,Cents per pound of retail equivalent
1980,October,10,Pork byproduct value,5.979800000000000000000000000000,Cents per pound of retail equivalent
1980,November,11,Pork byproduct value,6.186000000000000000000000000000,Cents per pound of retail equivalent
1980,December,12,Pork byproduct value,5.876700000000000000000000000000,Cents per pound of retail equivalent
1981,January,1,Pork byproduct value,5.155000000000000000000000000000,Cents per pound of retail equivalent
1981,February,2,Pork byproduct value,4.948800000000000000000000000000,Cents per pound of retail equivalent
1981,March,3,Pork byproduct value,4.742600000000000000000000000000,Cents per pound of retail equivalent
1981,April,4,Pork byproduct value,4.742600000000000000000000000000,Cents per pound of retail equivalent
1981,May,5,Pork byproduct value,4.948800000000000000000000000000,Cents per pound of retail equivalent
1981,June,6,Pork byproduct value,5.773600000000000000000000000000,Cents per pound of retail equivalent
1981,July,7,Pork byproduct value,6.082900000000000000000000000000,Cents per pound of retail equivalent
1981,August,8,Pork byproduct value,6.082900000000000000000000000000,Cents per pound of retail equivalent
1981,September,9,Pork byproduct value,6.186000000000000000000000000000,Cents per pound of retail equivalent
1981,October,10,Pork byproduct value,5.670500000000000000000000000000,Cents per pound of retail equivalent
1981,November,11,Pork byproduct value,5.155000000000000000000000000000,Cents per pound of retail equivalent
1981,December,12,Pork byproduct value,4.639500000000000000000000000000,Cents per pound of retail equivalent
1982,January,1,Pork byproduct value,5.361200000000000000000000000000,Cents per pound of retail equivalent
1982,February,2,Pork byproduct value,6.082900000000000000000000000000,Cents per pound of retail equivalent
1982,March,3,Pork byproduct value,5.979800000000000000000000000000,Cents per pound of retail equivalent
1982,April,4,Pork byproduct value,6.289100000000000000000000000000,Cents per pound of retail equivalent
1982,May,5,Pork byproduct value,7.010800000000000000000000000000,Cents per pound of retail equivalent
1982,June,6,Pork byproduct value,7.113900000000000000000000000000,Cents per pound of retail equivalent
1982,July,7,Pork byproduct value,6.907700000000000000000000000000,Cents per pound of retail equivalent
1982,August,8,Pork byproduct value,7.423200000000000000000000000000,Cents per pound of retail equivalent
1982,September,9,Pork byproduct value,7.320100000000000000000000000000,Cents per pound of retail equivalent
1982,October,10,Pork byproduct value,6.392200000000000000000000000000,Cents per pound of retail equivalent
1982,November,11,Pork byproduct value,5.567400000000000000000000000000,Cents per pound of retail equivalent
1982,December,12,Pork byproduct value,5.567400000000000000000000000000,Cents per pound of retail equivalent
1983,January,1,Pork byproduct value,6.082900000000000000000000000000,Cents per pound of retail equivalent
1983,February,2,Pork byproduct value,5.979800000000000000000000000000,Cents per pound of retail equivalent
1983,March,3,Pork byproduct value,5.464300000000000000000000000000,Cents per pound of retail equivalent
1983,April,4,Pork byproduct value,5.258100000000000000000000000000,Cents per pound of retail equivalent
1983,May,5,Pork byproduct value,5.155000000000000000000000000000,Cents per pound of retail equivalent
1983,June,6,Pork byproduct value,4.742600000000000000000000000000,Cents per pound of retail equivalent
1983,July,7,Pork byproduct value,4.639500000000000000000000000000,Cents per pound of retail equivalent
1983,August,8,Pork byproduct value,5.464300000000000000000000000000,Cents per pound of retail equivalent
1983,September,9,Pork byproduct value,5.258100000000000000000000000000,Cents per pound of retail equivalent
1983,October,10,Pork byproduct value,4.330200000000000000000000000000,Cents per pound of retail equivalent
1983,November,11,Pork byproduct value,4.124000000000000000000000000000,Cents per pound of retail equivalent
1983,December,12,Pork byproduct value,4.845700000000000000000000000000,Cents per pound of retail equivalent
1984,January,1,Pork byproduct value,5.670500000000000000000000000000,Cents per pound of retail equivalent
1984,February,2,Pork byproduct value,5.567400000000000000000000000000,Cents per pound of retail equivalent
1984,March,3,Pork byproduct value,6.186000000000000000000000000000,Cents per pound of retail equivalent
1984,April,4,Pork byproduct value,6.289100000000000000000000000000,Cents per pound of retail equivalent
1984,May,5,Pork byproduct value,6.289100000000000000000000000000,Cents per pound of retail equivalent
1984,June,6,Pork byproduct value,6.289100000000000000000000000000,Cents per pound of retail equivalent
1984,July,7,Pork byproduct value,6.392200000000000000000000000000,Cents per pound of retail equivalent
1984,August,8,Pork byproduct value,6.495300000000000000000000000000,Cents per pound of retail equivalent
1984,September,9,Pork byproduct value,5.773600000000000000000000000000,Cents per pound of retail equivalent
1984,October,10,Pork byproduct value,5.876700000000000000000000000000,Cents per pound of retail equivalent
1984,November,11,Pork byproduct value,6.082900000000000000000000000000,Cents per pound of retail equivalent
1984,December,12,Pork byproduct value,5.876700000000000000000000000000,Cents per pound of retail equivalent
1985,January,1,Pork byproduct value,5.670500000000000000000000000000,Cents per pound of retail equivalent
1985,February,2,Pork byproduct value,5.773600000000000000000000000000,Cents per pound of retail equivalent
1985,March,3,Pork byproduct value,5.155000000000000000000000000000,Cents per pound of retail equivalent
1985,April,4,Pork byproduct value,4.845700000000000000000000000000,Cents per pound of retail equivalent
1985,May,5,Pork byproduct value,4.536400000000000000000000000000,Cents per pound of retail equivalent
1985,June,6,Pork byproduct value,4.433300000000000000000000000000,Cents per pound of retail equivalent
1985,July,7,Pork byproduct value,4.700000000000000000000000000000,Cents per pound of retail equivalent
1985,August,8,Pork byproduct value,4.845700000000000000000000000000,Cents per pound of retail equivalent
1985,September,9,Pork byproduct value,4.845700000000000000000000000000,Cents per pound of retail equivalent
1985,October,10,Pork byproduct value,4.433300000000000000000000000000,Cents per pound of retail equivalent
1985,November,11,Pork byproduct value,4.639500000000000000000000000000,Cents per pound of retail equivalent
1985,December,12,Pork byproduct value,4.639500000000000000000000000000,Cents per pound of retail equivalent
1986,January,1,Pork byproduct value,4.845700000000000000000000000000,Cents per pound of retail equivalent
1986,February,2,Pork byproduct value,4.742600000000000000000000000000,Cents per pound of retail equivalent
1986,March,3,Pork byproduct value,4.124000000000000000000000000000,Cents per pound of retail equivalent
1986,April,4,Pork byproduct value,4.124000000000000000000000000000,Cents per pound of retail equivalent
1986,May,5,Pork byproduct value,4.330200000000000000000000000000,Cents per pound of retail equivalent
1986,June,6,Pork byproduct value,4.948800000000000000000000000000,Cents per pound of retail equivalent
1986,July,7,Pork byproduct value,5.773600000000000000000000000000,Cents per pound of retail equivalent
1986,August,8,Pork byproduct value,6.082900000000000000000000000000,Cents per pound of retail equivalent
1986,September,9,Pork byproduct value,5.876700000000000000000000000000,Cents per pound of retail equivalent
1986,October,10,Pork byproduct value,5.670500000000000000000000000000,Cents per pound of retail equivalent
1986,November,11,Pork byproduct value,5.258100000000000000000000000000,Cents per pound of retail equivalent
1986,December,12,Pork byproduct value,5.361200000000000000000000000000,Cents per pound of retail equivalent
1987,January,1,Pork byproduct value,5.155000000000000000000000000000,Cents per pound of retail equivalent
1987,February,2,Pork byproduct value,5.258100000000000000000000000000,Cents per pound of retail equivalent
1987,March,3,Pork byproduct value,5.051900000000000000000000000000,Cents per pound of retail equivalent
1987,April,4,Pork byproduct value,5.258100000000000000000000000000,Cents per pound of retail equivalent
1987,May,5,Pork byproduct value,5.670500000000000000000000000000,Cents per pound of retail equivalent
1987,June,6,Pork byproduct value,6.082900000000000000000000000000,Cents per pound of retail equivalent
1987,July,7,Pork byproduct value,6.186000000000000000000000000000,Cents per pound of retail equivalent
1987,August,8,Pork byproduct value,6.082900000000000000000000000000,Cents per pound of retail equivalent
1987,September,9,Pork byproduct value,5.773600000000000000000000000000,Cents per pound of retail equivalent
1987,October,10,Pork byproduct value,5.051900000000000000000000000000,Cents per pound of retail equivalent
1987,November,11,Pork byproduct value,4.227100000000000000000000000000,Cents per pound of retail equivalent
1987,December,12,Pork byproduct value,4.124000000000000000000000000000,Cents per pound of retail equivalent
1988,January,1,Pork byproduct value,4.742600000000000000000000000000,Cents per pound of retail equivalent
1988,February,2,Pork byproduct value,4.948800000000000000000000000000,Cents per pound of retail equivalent
1988,March,3,Pork byproduct value,4.433300000000000000000000000000,Cents per pound of retail equivalent
1988,April,4,Pork byproduct value,4.330200000000000000000000000000,Cents per pound of retail equivalent
1988,May,5,Pork byproduct value,4.845700000000000000000000000000,Cents per pound of retail equivalent
1988,June,6,Pork byproduct value,5.051900000000000000000000000000,Cents per pound of retail equivalent
1988,July,7,Pork byproduct value,4.948800000000000000000000000000,Cents per pound of retail equivalent
1988,August,8,Pork byproduct value,4.845700000000000000000000000000,Cents per pound of retail equivalent
1988,September,9,Pork byproduct value,4.536400000000000000000000000000,Cents per pound of retail equivalent
1988,October,10,Pork byproduct value,4.330200000000000000000000000000,Cents per pound of retail equivalent
1988,November,11,Pork byproduct value,3.917800000000000000000000000000,Cents per pound of retail equivalent
1988,December,12,Pork byproduct value,4.227100000000000000000000000000,Cents per pound of retail equivalent
1989,January,1,Pork byproduct value,4.536400000000000000000000000000,Cents per pound of retail equivalent
1989,February,2,Pork byproduct value,4.433300000000000000000000000000,Cents per pound of retail equivalent
1989,March,3,Pork byproduct value,4.330200000000000000000000000000,Cents per pound of retail equivalent
1989,April,4,Pork byproduct value,4.124000000000000000000000000000,Cents per pound of retail equivalent
1989,May,5,Pork byproduct value,4.536400000000000000000000000000,Cents per pound of retail equivalent
1989,June,6,Pork byproduct value,4.845700000000000000000000000000,Cents per pound of retail equivalent
1989,July,7,Pork byproduct value,5.051900000000000000000000000000,Cents per pound of retail equivalent
1989,August,8,Pork byproduct value,5.051900000000000000000000000000,Cents per pound of retail equivalent
1989,September,9,Pork byproduct value,4.845700000000000000000000000000,Cents per pound of retail equivalent
1989,October,10,Pork byproduct value,4.948800000000000000000000000000,Cents per pound of retail equivalent
1989,November,11,Pork byproduct value,4.742600000000000000000000000000,Cents per pound of retail equivalent
1989,December,12,Pork byproduct value,4.742600000000000000000000000000,Cents per pound of retail equivalent
1990,January,1,Pork byproduct value,5.051900000000000000000000000000,Cents per pound of retail equivalent
1990,February,2,Pork byproduct value,5.155000000000000000000000000000,Cents per pound of retail equivalent
1990,March,3,Pork byproduct value,5.361200000000000000000000000000,Cents per pound of retail equivalent
1990,April,4,Pork byproduct value,5.670500000000000000000000000000,Cents per pound of retail equivalent
1990,May,5,Pork byproduct value,6.392200000000000000000000000000,Cents per pound of retail equivalent
1990,June,6,Pork byproduct value,6.392200000000000000000000000000,Cents per pound of retail equivalent
1990,July,7,Pork byproduct value,6.392200000000000000000000000000,Cents per pound of retail equivalent
1990,August,8,Pork byproduct value,5.979800000000000000000000000000,Cents per pound of retail equivalent
1990,September,9,Pork byproduct value,5.567400000000000000000000000000,Cents per pound of retail equivalent
1990,October,10,Pork byproduct value,5.670500000000000000000000000000,Cents per pound of retail equivalent
1990,November,11,Pork byproduct value,5.051900000000000000000000000000,Cents per pound of retail equivalent
1990,December,12,Pork byproduct value,4.845700000000000000000000000000,Cents per pound of retail equivalent
1991,January,1,Pork byproduct value,5.258100000000000000000000000000,Cents per pound of retail equivalent
1991,February,2,Pork byproduct value,5.361200000000000000000000000000,Cents per pound of retail equivalent
1991,March,3,Pork byproduct value,5.155000000000000000000000000000,Cents per pound of retail equivalent
1991,April,4,Pork byproduct value,5.155000000000000000000000000000,Cents per pound of retail equivalent
1991,May,5,Pork byproduct value,5.155000000000000000000000000000,Cents per pound of retail equivalent
1991,June,6,Pork byproduct value,5.155000000000000000000000000000,Cents per pound of retail equivalent
1991,July,7,Pork byproduct value,5.155000000000000000000000000000,Cents per pound of retail equivalent
1991,August,8,Pork byproduct value,4.845700000000000000000000000000,Cents per pound of retail equivalent
1991,September,9,Pork byproduct value,4.433300000000000000000000000000,Cents per pound of retail equivalent
1991,October,10,Pork byproduct value,4.433300000000000000000000000000,Cents per pound of retail equivalent
1991,November,11,Pork byproduct value,3.814700000000000000000000000000,Cents per pound of retail equivalent
1991,December,12,Pork byproduct value,3.814700000000000000000000000000,Cents per pound of retail equivalent
1992,January,1,Pork byproduct value,3.608500000000000000000000000000,Cents per pound of retail equivalent
1992,February,2,Pork byproduct value,3.814700000000000000000000000000,Cents per pound of retail equivalent
1992,March,3,Pork byproduct value,3.814700000000000000000000000000,Cents per pound of retail equivalent
1992,April,4,Pork byproduct value,4.124000000000000000000000000000,Cents per pound of retail equivalent
1992,May,5,Pork byproduct value,4.330200000000000000000000000000,Cents per pound of retail equivalent
1992,June,6,Pork byproduct value,4.536400000000000000000000000000,Cents per pound of retail equivalent
1992,July,7,Pork byproduct value,4.639500000000000000000000000000,Cents per pound of retail equivalent
1992,August,8,Pork byproduct value,4.639500000000000000000000000000,Cents per pound of retail equivalent
1992,September,9,Pork byproduct value,4.433300000000000000000000000000,Cents per pound of retail equivalent
1992,October,10,Pork byproduct value,4.639500000000000000000000000000,Cents per pound of retail equivalent
1992,November,11,Pork byproduct value,4.639500000000000000000000000000,Cents per pound of retail equivalent
1992,December,12,Pork byproduct value,4.742600000000000000000000000000,Cents per pound of retail equivalent
1993,January,1,Pork byproduct value,4.742600000000000000000000000000,Cents per pound of retail equivalent
1993,February,2,Pork byproduct value,4.742600000000000000000000000000,Cents per pound of retail equivalent
1993,March,3,Pork byproduct value,5.051900000000000000000000000000,Cents per pound of retail equivalent
1993,April,4,Pork byproduct value,5.051900000000000000000000000000,Cents per pound of retail equivalent
1993,May,5,Pork byproduct value,5.155000000000000000000000000000,Cents per pound of retail equivalent
1993,June,6,Pork byproduct value,5.051900000000000000000000000000,Cents per pound of retail equivalent
1993,July,7,Pork byproduct value,4.845700000000000000000000000000,Cents per pound of retail equivalent
1993,August,8,Pork byproduct value,5.051900000000000000000000000000,Cents per pound of retail equivalent
1993,September,9,Pork byproduct value,5.051900000000000000000000000000,Cents per pound of retail equivalent
1993,October,10,Pork byproduct value,5.051900000000000000000000000000,Cents per pound of retail equivalent
1993,November,11,Pork byproduct value,4.639500000000000000000000000000,Cents per pound of retail equivalent
1993,December,12,Pork byproduct value,4.330200000000000000000000000000,Cents per pound of retail equivalent
1994,January,1,Pork byproduct value,4.639500000000000000000000000000,Cents per pound of retail equivalent
1994,February,2,Pork byproduct value,5.051900000000000000000000000000,Cents per pound of retail equivalent
1994,March,3,Pork byproduct value,5.051900000000000000000000000000,Cents per pound of retail equivalent
1994,April,4,Pork byproduct value,4.742600000000000000000000000000,Cents per pound of retail equivalent
1994,May,5,Pork byproduct value,4.639500000000000000000000000000,Cents per pound of retail equivalent
1994,June,6,Pork byproduct value,4.742600000000000000000000000000,Cents per pound of retail equivalent
1994,July,7,Pork byproduct value,4.742600000000000000000000000000,Cents per pound of retail equivalent
1994,August,8,Pork byproduct value,4.948800000000000000000000000000,Cents per pound of retail equivalent
1994,September,9,Pork byproduct value,4.433300000000000000000000000000,Cents per pound of retail equivalent
1994,October,10,Pork byproduct value,4.227100000000000000000000000000,Cents per pound of retail equivalent
1994,November,11,Pork byproduct value,3.917800000000000000000000000000,Cents per pound of retail equivalent
1994,December,12,Pork byproduct value,4.330200000000000000000000000000,Cents per pound of retail equivalent
1995,January,1,Pork byproduct value,4.845700000000000000000000000000,Cents per pound of retail equivalent
1995,February,2,Pork byproduct value,5.051900000000000000000000000000,Cents per pound of retail equivalent
1995,March,3,Pork byproduct value,4.742600000000000000000000000000,Cents per pound of retail equivalent
1995,April,4,Pork byproduct value,4.433300000000000000000000000000,Cents per pound of retail equivalent
1995,May,5,Pork byproduct value,4.433300000000000000000000000000,Cents per pound of retail equivalent
1995,June,6,Pork byproduct value,4.948800000000000000000000000000,Cents per pound of retail equivalent
1995,July,7,Pork byproduct value,5.464300000000000000000000000000,Cents per pound of retail equivalent
1995,August,8,Pork byproduct value,5.670500000000000000000000000000,Cents per pound of retail equivalent
1995,September,9,Pork byproduct value,5.773600000000000000000000000000,Cents per pound of retail equivalent
1995,October,10,Pork byproduct value,5.567400000000000000000000000000,Cents per pound of retail equivalent
1995,November,11,Pork byproduct value,4.845700000000000000000000000000,Cents per pound of retail equivalent
1995,December,12,Pork byproduct value,5.051900000000000000000000000000,Cents per pound of retail equivalent
1996,January,1,Pork byproduct value,4.948800000000000000000000000000,Cents per pound of retail equivalent
1996,February,2,Pork byproduct value,5.051900000000000000000000000000,Cents per pound of retail equivalent
1996,March,3,Pork byproduct value,5.361200000000000000000000000000,Cents per pound of retail equivalent
1996,April,4,Pork byproduct value,5.464300000000000000000000000000,Cents per pound of retail equivalent
1996,May,5,Pork byproduct value,6.495300000000000000000000000000,Cents per pound of retail equivalent
1996,June,6,Pork byproduct value,6.701500000000000000000000000000,Cents per pound of retail equivalent
1996,July,7,Pork byproduct value,7.113900000000000000000000000000,Cents per pound of retail equivalent
1996,August,8,Pork byproduct value,7.320100000000000000000000000000,Cents per pound of retail equivalent
1996,September,9,Pork byproduct value,6.907700000000000000000000000000,Cents per pound of retail equivalent
1996,October,10,Pork byproduct value,6.701500000000000000000000000000,Cents per pound of retail equivalent
1996,November,11,Pork byproduct value,6.598400000000000000000000000000,Cents per pound of retail equivalent
1996,December,12,Pork byproduct value,6.598400000000000000000000000000,Cents per pound of retail equivalent
