"Producer Price Index item","Month of forecast","Year of forecast","Year being forecast","Attribute","Forecast percent change"
"Farm-level cattle",6,"2003","2003","Upper bound of prediction interval",24.6
"Farm-level cattle",7,"2003","2003","Lower bound of prediction interval",6.8
"Farm-level cattle",7,"2003","2003","Mid point of prediction interval",13
"Farm-level cattle",7,"2003","2003","Upper bound of prediction interval",20.2
"Farm-level cattle",8,"2003","2003","Lower bound of prediction interval",6.9
"Farm-level cattle",8,"2003","2003","Mid point of prediction interval",11.6
"Farm-level cattle",8,"2003","2003","Upper bound of prediction interval",17
"Farm-level cattle",9,"2003","2003","Lower bound of prediction interval",11
"Farm-level cattle",9,"2003","2003","Mid point of prediction interval",14.8
"Farm-level cattle",9,"2003","2003","Upper bound of prediction interval",19.1
"Farm-level cattle",10,"2003","2003","Lower bound of prediction interval",16.5
"Farm-level cattle",10,"2003","2003","Mid point of prediction interval",19.5
"Farm-level cattle",10,"2003","2003","Upper bound of prediction interval",22.8
"Farm-level cattle",11,"2003","2003","Lower bound of prediction interval",24.2
"Farm-level cattle",11,"2003","2003","Mid point of prediction interval",26.5
"Farm-level cattle",11,"2003","2003","Upper bound of prediction interval",29.1
"Farm-level cattle",12,"2003","2003","Lower bound of prediction interval",22.6
"Farm-level cattle",12,"2003","2003","Mid point of prediction interval",23.4
"Farm-level cattle",12,"2003","2003","Upper bound of prediction interval",24.4
"Wholesale beef",7,"2002","2003","Lower bound of prediction interval",-13.9
"Wholesale beef",7,"2002","2003","Mid point of prediction interval",0.6
"Wholesale beef",7,"2002","2003","Upper bound of prediction interval",17.5
"Wholesale beef",8,"2002","2003","Lower bound of prediction interval",-16.1
"Wholesale beef",8,"2002","2003","Mid point of prediction interval",-2.5
"Wholesale beef",8,"2002","2003","Upper bound of prediction interval",13.2
"Wholesale beef",9,"2002","2003","Lower bound of prediction interval",-15.3
"Wholesale beef",9,"2002","2003","Mid point of prediction interval",-2.5
"Wholesale beef",9,"2002","2003","Upper bound of prediction interval",12.2
"Wholesale beef",10,"2002","2003","Lower bound of prediction interval",-13.6
"Wholesale beef",10,"2002","2003","Mid point of prediction interval",-1.4
"Wholesale beef",10,"2002","2003","Upper bound of prediction interval",12.6
"Wholesale beef",11,"2002","2003","Lower bound of prediction interval",-14.5
"Wholesale beef",11,"2002","2003","Mid point of prediction interval",-3.5
"Wholesale beef",11,"2002","2003","Upper bound of prediction interval",9.6
"Wholesale beef",12,"2002","2003","Lower bound of prediction interval",-12.6
"Wholesale beef",12,"2002","2003","Mid point of prediction interval",-2.2
"Wholesale beef",12,"2002","2003","Upper bound of prediction interval",9.7
"Wholesale beef",1,"2003","2003","Lower bound of prediction interval",-7.5
"Wholesale beef",1,"2003","2003","Mid point of prediction interval",2.6
"Wholesale beef",1,"2003","2003","Upper bound of prediction interval",14
"Wholesale beef",2,"2003","2003","Lower bound of prediction interval",-1
"Wholesale beef",2,"2003","2003","Mid point of prediction interval",8.4
"Wholesale beef",2,"2003","2003","Upper bound of prediction interval",19.1
"Wholesale beef",3,"2003","2003","Lower bound of prediction interval",1.4
"Wholesale beef",3,"2003","2003","Mid point of prediction interval",9.7
"Wholesale beef",3,"2003","2003","Upper bound of prediction interval",19.2
"Wholesale beef",4,"2003","2003","Lower bound of prediction interval",2.9
"Wholesale beef",4,"2003","2003","Mid point of prediction interval",10.2
"Wholesale beef",4,"2003","2003","Upper bound of prediction interval",18.3
"Wholesale beef",5,"2003","2003","Lower bound of prediction interval",4.4
"Wholesale beef",5,"2003","2003","Mid point of prediction interval",10.6
"Wholesale beef",5,"2003","2003","Upper bound of prediction interval",17.6
"Wholesale beef",6,"2003","2003","Lower bound of prediction interval",6.7
"Wholesale beef",6,"2003","2003","Mid point of prediction interval",11.9
"Wholesale beef",6,"2003","2003","Upper bound of prediction interval",17.8
"Wholesale beef",7,"2003","2003","Lower bound of prediction interval",12.1
"Wholesale beef",7,"2003","2003","Mid point of prediction interval",16.8
"Wholesale beef",7,"2003","2003","Upper bound of prediction interval",22
"Wholesale beef",8,"2003","2003","Lower bound of prediction interval",9.7
"Wholesale beef",8,"2003","2003","Mid point of prediction interval",13.2
"Wholesale beef",8,"2003","2003","Upper bound of prediction interval",16.9
"Wholesale beef",9,"2003","2003","Lower bound of prediction interval",12.4
"Wholesale beef",9,"2003","2003","Mid point of prediction interval",15.2
"Wholesale beef",9,"2003","2003","Upper bound of prediction interval",18.1
"Wholesale beef",10,"2003","2003","Lower bound of prediction interval",14.9
"Wholesale beef",10,"2003","2003","Mid point of prediction interval",16.8
"Wholesale beef",10,"2003","2003","Upper bound of prediction interval",18.9
"Wholesale beef",11,"2003","2003","Lower bound of prediction interval",20.4
"Wholesale beef",11,"2003","2003","Mid point of prediction interval",21.9
"Wholesale beef",11,"2003","2003","Upper bound of prediction interval",23.5
"Wholesale beef",12,"2003","2003","Lower bound of prediction interval",20.1
"Wholesale beef",12,"2003","2003","Mid point of prediction interval",20.8
"Wholesale beef",12,"2003","2003","Upper bound of prediction interval",21.5
"Wholesale pork",7,"2002","2003","Lower bound of prediction interval",-18.1
"Wholesale pork",7,"2002","2003","Mid point of prediction interval",-3.2
"Wholesale pork",7,"2002","2003","Upper bound of prediction interval",14.3
"Wholesale pork",8,"2002","2003","Lower bound of prediction interval",-14.5
"Wholesale pork",8,"2002","2003","Mid point of prediction interval",0.6
"Wholesale pork",8,"2002","2003","Upper bound of prediction interval",18.6
"Wholesale pork",9,"2002","2003","Lower bound of prediction interval",-16.4
"Wholesale pork",9,"2002","2003","Mid point of prediction interval",-2.2
"Wholesale pork",9,"2002","2003","Upper bound of prediction interval",15.1
"Wholesale pork",10,"2002","2003","Lower bound of prediction interval",-17.3
"Wholesale pork",10,"2002","2003","Mid point of prediction interval",-3.9
"Wholesale pork",10,"2002","2003","Upper bound of prediction interval",11.7
"Wholesale pork",11,"2002","2003","Lower bound of prediction interval",-15.8
"Wholesale pork",11,"2002","2003","Mid point of prediction interval",-2.8
"Wholesale pork",11,"2002","2003","Upper bound of prediction interval",12.5
"Wholesale pork",12,"2002","2003","Lower bound of prediction interval",-14.4
"Wholesale pork",12,"2002","2003","Mid point of prediction interval",-1.8
"Wholesale pork",12,"2002","2003","Upper bound of prediction interval",12.7
"Wholesale pork",1,"2003","2003","Lower bound of prediction interval",-13
"Wholesale pork",1,"2003","2003","Mid point of prediction interval",-1.7
"Wholesale pork",1,"2003","2003","Upper bound of prediction interval",11.6
"Wholesale pork",2,"2003","2003","Lower bound of prediction interval",-11
"Wholesale pork",2,"2003","2003","Mid point of prediction interval",-0.5
"Wholesale pork",2,"2003","2003","Upper bound of prediction interval",12
"Wholesale pork",3,"2003","2003","Lower bound of prediction interval",-9.2
"Wholesale pork",3,"2003","2003","Mid point of prediction interval",0.5
"Wholesale pork",3,"2003","2003","Upper bound of prediction interval",11.3
"Wholesale pork",4,"2003","2003","Lower bound of prediction interval",-7.5
"Wholesale pork",4,"2003","2003","Mid point of prediction interval",0.9
"Wholesale pork",4,"2003","2003","Upper bound of prediction interval",10.7
"Wholesale pork",5,"2003","2003","Lower bound of prediction interval",-5.8
"Wholesale pork",5,"2003","2003","Mid point of prediction interval",1.7
"Wholesale pork",5,"2003","2003","Upper bound of prediction interval",10.5
"Wholesale pork",6,"2003","2003","Lower bound of prediction interval",-2.9
"Wholesale pork",6,"2003","2003","Mid point of prediction interval",3.8
"Wholesale pork",6,"2003","2003","Upper bound of prediction interval",11.4
"Wholesale pork",7,"2003","2003","Lower bound of prediction interval",1.6
"Wholesale pork",7,"2003","2003","Mid point of prediction interval",7.4
"Wholesale pork",7,"2003","2003","Upper bound of prediction interval",14.1
"Wholesale pork",8,"2003","2003","Lower bound of prediction interval",2.3
"Wholesale pork",8,"2003","2003","Mid point of prediction interval",6.8
"Wholesale pork",8,"2003","2003","Upper bound of prediction interval",12.1
"Wholesale pork",9,"2003","2003","Lower bound of prediction interval",2.3
"Wholesale pork",9,"2003","2003","Mid point of prediction interval",5.8
"Wholesale pork",9,"2003","2003","Upper bound of prediction interval",9.8
"Wholesale pork",10,"2003","2003","Lower bound of prediction interval",3.6
"Wholesale pork",10,"2003","2003","Mid point of prediction interval",6.1
"Wholesale pork",10,"2003","2003","Upper bound of prediction interval",8.8
"Wholesale pork",11,"2003","2003","Lower bound of prediction interval",5.3
"Wholesale pork",11,"2003","2003","Mid point of prediction interval",6.9
"Wholesale pork",11,"2003","2003","Upper bound of prediction interval",8.7
"Wholesale pork",12,"2003","2003","Lower bound of prediction interval",5.4
"Wholesale pork",12,"2003","2003","Mid point of prediction interval",6.2
"Wholesale pork",12,"2003","2003","Upper bound of prediction interval",6.9
"Wholesale poultry",7,"2002","2003","Lower bound of prediction interval",-7
"Wholesale poultry",7,"2002","2003","Mid point of prediction interval",0.3
"Wholesale poultry",7,"2002","2003","Upper bound of prediction interval",7.9
"Wholesale poultry",8,"2002","2003","Lower bound of prediction interval",-6.1
"Wholesale poultry",8,"2002","2003","Mid point of prediction interval",1.1
"Wholesale poultry",8,"2002","2003","Upper bound of prediction interval",9
"Wholesale poultry",9,"2002","2003","Lower bound of prediction interval",-6.4
"Wholesale poultry",9,"2002","2003","Mid point of prediction interval",0.6
"Wholesale poultry",9,"2002","2003","Upper bound of prediction interval",8
"Wholesale poultry",10,"2002","2003","Lower bound of prediction interval",-4.1
"Wholesale poultry",10,"2002","2003","Mid point of prediction interval",1.7
"Wholesale poultry",10,"2002","2003","Upper bound of prediction interval",7.9
"Wholesale poultry",11,"2002","2003","Lower bound of prediction interval",-4.5
"Wholesale poultry",11,"2002","2003","Mid point of prediction interval",1.3
"Wholesale poultry",11,"2002","2003","Upper bound of prediction interval",7.4
"Wholesale poultry",12,"2002","2003","Lower bound of prediction interval",-4
"Wholesale poultry",12,"2002","2003","Mid point of prediction interval",1.7
"Wholesale poultry",12,"2002","2003","Upper bound of prediction interval",7.8
"Wholesale poultry",1,"2003","2003","Lower bound of prediction interval",-4.3
"Wholesale poultry",1,"2003","2003","Mid point of prediction interval",1.4
"Wholesale poultry",1,"2003","2003","Upper bound of prediction interval",7.5
"Wholesale poultry",2,"2003","2003","Lower bound of prediction interval",-4.7
"Wholesale poultry",2,"2003","2003","Mid point of prediction interval",0.6
"Wholesale poultry",2,"2003","2003","Upper bound of prediction interval",6.2
"Wholesale poultry",3,"2003","2003","Lower bound of prediction interval",-2.3
"Wholesale poultry",3,"2003","2003","Mid point of prediction interval",2.4
"Wholesale poultry",3,"2003","2003","Upper bound of prediction interval",7.6
"Wholesale poultry",4,"2003","2003","Lower bound of prediction interval",-2.4
"Wholesale poultry",4,"2003","2003","Mid point of prediction interval",2.1
"Wholesale poultry",4,"2003","2003","Upper bound of prediction interval",6.9
"Wholesale poultry",5,"2003","2003","Lower bound of prediction interval",-2.5
"Wholesale poultry",5,"2003","2003","Mid point of prediction interval",1.2
"Wholesale poultry",5,"2003","2003","Upper bound of prediction interval",5.4
"Wholesale poultry",6,"2003","2003","Lower bound of prediction interval",-1.2
"Wholesale poultry",6,"2003","2003","Mid point of prediction interval",2.1
"Wholesale poultry",6,"2003","2003","Upper bound of prediction interval",5.6
"Wholesale poultry",7,"2003","2003","Lower bound of prediction interval",-0.2
"Wholesale poultry",7,"2003","2003","Mid point of prediction interval",2.6
"Wholesale poultry",7,"2003","2003","Upper bound of prediction interval",5.7
"Wholesale poultry",8,"2003","2003","Lower bound of prediction interval",0.7
"Wholesale poultry",8,"2003","2003","Mid point of prediction interval",2.9
"Wholesale poultry",8,"2003","2003","Upper bound of prediction interval",5.4
"Wholesale poultry",9,"2003","2003","Lower bound of prediction interval",1.8
"Wholesale poultry",9,"2003","2003","Mid point of prediction interval",3.6
"Wholesale poultry",9,"2003","2003","Upper bound of prediction interval",5.5
"Wholesale poultry",10,"2003","2003","Lower bound of prediction interval",2.9
"Wholesale poultry",10,"2003","2003","Mid point of prediction interval",4.2
"Wholesale poultry",10,"2003","2003","Upper bound of prediction interval",5.5
"Wholesale poultry",11,"2003","2003","Lower bound of prediction interval",3.6
"Wholesale poultry",11,"2003","2003","Mid point of prediction interval",4.4
"Wholesale poultry",11,"2003","2003","Upper bound of prediction interval",5.1
"Wholesale poultry",12,"2003","2003","Lower bound of prediction interval",4.2
"Wholesale poultry",12,"2003","2003","Mid point of prediction interval",4.5
"Wholesale poultry",12,"2003","2003","Upper bound of prediction interval",4.9
"Farm-level eggs",7,"2002","2003","Lower bound of prediction interval",-43.5
"Farm-level eggs",7,"2002","2003","Mid point of prediction interval",-4.2
"Farm-level eggs",7,"2002","2003","Upper bound of prediction interval",62.4
"Farm-level eggs",8,"2002","2003","Lower bound of prediction interval",-39
"Farm-level eggs",8,"2002","2003","Mid point of prediction interval",1.3
"Farm-level eggs",8,"2002","2003","Upper bound of prediction interval",67.2
"Farm-level eggs",9,"2002","2003","Lower bound of prediction interval",-33.3
"Farm-level eggs",9,"2002","2003","Mid point of prediction interval",6.7
"Farm-level eggs",9,"2002","2003","Upper bound of prediction interval",72.9
"Farm-level eggs",10,"2002","2003","Lower bound of prediction interval",-32.1
"Farm-level eggs",10,"2002","2003","Mid point of prediction interval",4.7
"Farm-level eggs",10,"2002","2003","Upper bound of prediction interval",64.3
"Farm-level eggs",11,"2002","2003","Lower bound of prediction interval",-35.3
"Farm-level eggs",11,"2002","2003","Mid point of prediction interval",-1.6
"Farm-level eggs",11,"2002","2003","Upper bound of prediction interval",52
"Farm-level eggs",12,"2002","2003","Lower bound of prediction interval",-21.9
"Farm-level eggs",12,"2002","2003","Mid point of prediction interval",14.3
"Farm-level eggs",12,"2002","2003","Upper bound of prediction interval",68.8
"Farm-level eggs",1,"2003","2003","Lower bound of prediction interval",-15.1
"Farm-level eggs",1,"2003","2003","Mid point of prediction interval",21
"Farm-level eggs",1,"2003","2003","Upper bound of prediction interval",76
"Farm-level eggs",2,"2003","2003","Lower bound of prediction interval",-16.7
"Farm-level eggs",2,"2003","2003","Mid point of prediction interval",13.2
"Farm-level eggs",2,"2003","2003","Upper bound of prediction interval",58.2
"Farm-level eggs",3,"2003","2003","Lower bound of prediction interval",-14.7
"Farm-level eggs",3,"2003","2003","Mid point of prediction interval",11.5
"Farm-level eggs",3,"2003","2003","Upper bound of prediction interval",49.4
"Farm-level eggs",4,"2003","2003","Lower bound of prediction interval",-8
"Farm-level eggs",4,"2003","2003","Mid point of prediction interval",15.9
"Farm-level eggs",4,"2003","2003","Upper bound of prediction interval",50.8
"Farm-level eggs",5,"2003","2003","Lower bound of prediction interval",-2.5
"Farm-level eggs",5,"2003","2003","Mid point of prediction interval",18.4
"Farm-level eggs",5,"2003","2003","Upper bound of prediction interval",47.5
"Farm-level eggs",6,"2003","2003","Lower bound of prediction interval",-4.8
"Farm-level eggs",6,"2003","2003","Mid point of prediction interval",11
"Farm-level eggs",6,"2003","2003","Upper bound of prediction interval",33.2
"Farm-level eggs",7,"2003","2003","Lower bound of prediction interval",0.9
"Farm-level eggs",7,"2003","2003","Mid point of prediction interval",14.9
"Farm-level eggs",7,"2003","2003","Upper bound of prediction interval",33.6
"Farm-level eggs",8,"2003","2003","Lower bound of prediction interval",7.9
"Farm-level eggs",8,"2003","2003","Mid point of prediction interval",19.8
"Farm-level eggs",8,"2003","2003","Upper bound of prediction interval",35.7
"Farm-level eggs",9,"2003","2003","Lower bound of prediction interval",17.9
"Farm-level eggs",9,"2003","2003","Mid point of prediction interval",28.5
"Farm-level eggs",9,"2003","2003","Upper bound of prediction interval",42.1
"Farm-level eggs",10,"2003","2003","Lower bound of prediction interval",21.1
"Farm-level eggs",10,"2003","2003","Mid point of prediction interval",27.6
"Farm-level eggs",10,"2003","2003","Upper bound of prediction interval",35.6
"Farm-level eggs",11,"2003","2003","Lower bound of prediction interval",27
"Farm-level eggs",11,"2003","2003","Mid point of prediction interval",31.6
"Farm-level eggs",11,"2003","2003","Upper bound of prediction interval",37.3
"Farm-level eggs",12,"2003","2003","Lower bound of prediction interval",33.7
"Farm-level eggs",12,"2003","2003","Mid point of prediction interval",36.7
"Farm-level eggs",12,"2003","2003","Upper bound of prediction interval",40.4
"Farm-level milk",7,"2002","2003","Lower bound of prediction interval",-25.6
"Farm-level milk",7,"2002","2003","Mid point of prediction interval",-2.7
"Farm-level milk",7,"2002","2003","Upper bound of prediction interval",28.1
"Farm-level milk",8,"2002","2003","Lower bound of prediction interval",-28.6
"Farm-level milk",8,"2002","2003","Mid point of prediction interval",-7.2
"Farm-level milk",8,"2002","2003","Upper bound of prediction interval",21.2
"Farm-level milk",9,"2002","2003","Lower bound of prediction interval",-23.2
"Farm-level milk",9,"2002","2003","Mid point of prediction interval",-2
"Farm-level milk",9,"2002","2003","Upper bound of prediction interval",26.2
"Farm-level milk",10,"2002","2003","Lower bound of prediction interval",-21.2
"Farm-level milk",10,"2002","2003","Mid point of prediction interval",-0.3
"Farm-level milk",10,"2002","2003","Upper bound of prediction interval",26.2
"Farm-level milk",11,"2002","2003","Lower bound of prediction interval",-19.3
"Farm-level milk",11,"2002","2003","Mid point of prediction interval",0.7
"Farm-level milk",11,"2002","2003","Upper bound of prediction interval",25.2
"Farm-level milk",12,"2002","2003","Lower bound of prediction interval",-23.9
"Farm-level milk",12,"2002","2003","Mid point of prediction interval",-6.8
"Farm-level milk",12,"2002","2003","Upper bound of prediction interval",14
"Farm-level milk",1,"2003","2003","Lower bound of prediction interval",-20.9
"Farm-level milk",1,"2003","2003","Mid point of prediction interval",-4.8
"Farm-level milk",1,"2003","2003","Upper bound of prediction interval",14.7
"Farm-level milk",2,"2003","2003","Lower bound of prediction interval",-17.9
"Farm-level milk",2,"2003","2003","Mid point of prediction interval",-3.5
"Farm-level milk",2,"2003","2003","Upper bound of prediction interval",14.3
"Farm-level milk",3,"2003","2003","Lower bound of prediction interval",-18.7
"Farm-level milk",3,"2003","2003","Mid point of prediction interval",-6.4
"Farm-level milk",3,"2003","2003","Upper bound of prediction interval",8.9
"Farm-level milk",4,"2003","2003","Lower bound of prediction interval",-12.1
"Farm-level milk",4,"2003","2003","Mid point of prediction interval",-2.2
"Farm-level milk",4,"2003","2003","Upper bound of prediction interval",9.3
"Farm-level milk",5,"2003","2003","Lower bound of prediction interval",-9.6
"Farm-level milk",5,"2003","2003","Mid point of prediction interval",-0.6
"Farm-level milk",5,"2003","2003","Upper bound of prediction interval",9.8
"Farm-level milk",6,"2003","2003","Lower bound of prediction interval",-9.3
"Farm-level milk",6,"2003","2003","Mid point of prediction interval",-1.7
"Farm-level milk",6,"2003","2003","Upper bound of prediction interval",7.2
"Farm-level milk",7,"2003","2003","Lower bound of prediction interval",-10.5
"Farm-level milk",7,"2003","2003","Mid point of prediction interval",-4.3
"Farm-level milk",7,"2003","2003","Upper bound of prediction interval",2.8
"Farm-level milk",8,"2003","2003","Lower bound of prediction interval",-5.4
"Farm-level milk",8,"2003","2003","Mid point of prediction interval",0
"Farm-level milk",8,"2003","2003","Upper bound of prediction interval",6.2
"Farm-level milk",9,"2003","2003","Lower bound of prediction interval",-0.5
"Farm-level milk",9,"2003","2003","Mid point of prediction interval",4
"Farm-level milk",9,"2003","2003","Upper bound of prediction interval",9
"Farm-level milk",10,"2003","2003","Lower bound of prediction interval",1.9
"Farm-level milk",10,"2003","2003","Mid point of prediction interval",4.9
"Farm-level milk",10,"2003","2003","Upper bound of prediction interval",8.2
"Farm-level milk",11,"2003","2003","Lower bound of prediction interval",2.8
"Farm-level milk",11,"2003","2003","Mid point of prediction interval",4.4
"Farm-level milk",11,"2003","2003","Upper bound of prediction interval",6.1
"Farm-level milk",12,"2003","2003","Lower bound of prediction interval",2.8
"Farm-level milk",12,"2003","2003","Mid point of prediction interval",3.4
"Farm-level milk",12,"2003","2003","Upper bound of prediction interval",4.1
"Wholesale dairy",7,"2002","2003","Lower bound of prediction interval",-17.1
"Wholesale dairy",7,"2002","2003","Mid point of prediction interval",-1.2
"Wholesale dairy",7,"2002","2003","Upper bound of prediction interval",17.9
"Wholesale dairy",8,"2002","2003","Lower bound of prediction interval",-17.3
"Wholesale dairy",8,"2002","2003","Mid point of prediction interval",-2.5
"Wholesale dairy",8,"2002","2003","Upper bound of prediction interval",14.7
"Wholesale dairy",9,"2002","2003","Lower bound of prediction interval",-14.7
"Wholesale dairy",9,"2002","2003","Mid point of prediction interval",-0.7
"Wholesale dairy",9,"2002","2003","Upper bound of prediction interval",16.1
"Wholesale dairy",10,"2002","2003","Lower bound of prediction interval",-14.2
"Wholesale dairy",10,"2002","2003","Mid point of prediction interval",-1
"Wholesale dairy",10,"2002","2003","Upper bound of prediction interval",14.3
"Wholesale dairy",11,"2002","2003","Lower bound of prediction interval",-10.4
"Wholesale dairy",11,"2002","2003","Mid point of prediction interval",1.5
"Wholesale dairy",11,"2002","2003","Upper bound of prediction interval",15.1
"Wholesale dairy",12,"2002","2003","Lower bound of prediction interval",-13.4
"Wholesale dairy",12,"2002","2003","Mid point of prediction interval",-3.1
"Wholesale dairy",12,"2002","2003","Upper bound of prediction interval",8.7
"Wholesale dairy",1,"2003","2003","Lower bound of prediction interval",-10
"Wholesale dairy",1,"2003","2003","Mid point of prediction interval",-0.2
"Wholesale dairy",1,"2003","2003","Upper bound of prediction interval",11
"Wholesale dairy",2,"2003","2003","Lower bound of prediction interval",-9.3
"Wholesale dairy",2,"2003","2003","Mid point of prediction interval",-0.9
"Wholesale dairy",2,"2003","2003","Upper bound of prediction interval",8.7
"Wholesale dairy",3,"2003","2003","Lower bound of prediction interval",-9.2
"Wholesale dairy",3,"2003","2003","Mid point of prediction interval",-1.8
"Wholesale dairy",3,"2003","2003","Upper bound of prediction interval",6.3
"Wholesale dairy",4,"2003","2003","Lower bound of prediction interval",-8.3
"Wholesale dairy",4,"2003","2003","Mid point of prediction interval",-2.2
"Wholesale dairy",4,"2003","2003","Upper bound of prediction interval",4.6
"Wholesale dairy",5,"2003","2003","Lower bound of prediction interval",-6.9
"Wholesale dairy",5,"2003","2003","Mid point of prediction interval",-1.7
"Wholesale dairy",5,"2003","2003","Upper bound of prediction interval",4
"Wholesale dairy",6,"2003","2003","Lower bound of prediction interval",-5.7
"Wholesale dairy",6,"2003","2003","Mid point of prediction interval",-1.4
"Wholesale dairy",6,"2003","2003","Upper bound of prediction interval",3.3
"Wholesale dairy",7,"2003","2003","Lower bound of prediction interval",-4.7
"Wholesale dairy",7,"2003","2003","Mid point of prediction interval",-1.4
"Wholesale dairy",7,"2003","2003","Upper bound of prediction interval",2.3
"Wholesale dairy",8,"2003","2003","Lower bound of prediction interval",-1.2
"Wholesale dairy",8,"2003","2003","Mid point of prediction interval",1.5
"Wholesale dairy",8,"2003","2003","Upper bound of prediction interval",4.5
"Wholesale dairy",9,"2003","2003","Lower bound of prediction interval",0.5
"Wholesale dairy",9,"2003","2003","Mid point of prediction interval",2.6
"Wholesale dairy",9,"2003","2003","Upper bound of prediction interval",4.7
"Wholesale dairy",10,"2003","2003","Lower bound of prediction interval",1.6
"Wholesale dairy",10,"2003","2003","Mid point of prediction interval",2.9
"Wholesale dairy",10,"2003","2003","Upper bound of prediction interval",4.3
"Wholesale dairy",11,"2003","2003","Lower bound of prediction interval",2
"Wholesale dairy",11,"2003","2003","Mid point of prediction interval",2.8
"Wholesale dairy",11,"2003","2003","Upper bound of prediction interval",3.5
"Wholesale dairy",12,"2003","2003","Lower bound of prediction interval",2.1
"Wholesale dairy",12,"2003","2003","Mid point of prediction interval",2.4
"Wholesale dairy",12,"2003","2003","Upper bound of prediction interval",2.7
"Farm-level soybeans",7,"2002","2003","Lower bound of prediction interval",-29.1
"Farm-level soybeans",7,"2002","2003","Mid point of prediction interval",-2.4
"Farm-level soybeans",7,"2002","2003","Upper bound of prediction interval",36.6
"Farm-level soybeans",8,"2002","2003","Lower bound of prediction interval",-16.5
"Farm-level soybeans",8,"2002","2003","Mid point of prediction interval",14.9
"Farm-level soybeans",8,"2002","2003","Upper bound of prediction interval",57.8
"Farm-level soybeans",9,"2002","2003","Lower bound of prediction interval",-14.9
"Farm-level soybeans",9,"2002","2003","Mid point of prediction interval",14.4
"Farm-level soybeans",9,"2002","2003","Upper bound of prediction interval",54.6
"Farm-level soybeans",10,"2002","2003","Lower bound of prediction interval",-15.9
"Farm-level soybeans",10,"2002","2003","Mid point of prediction interval",11
"Farm-level soybeans",10,"2002","2003","Upper bound of prediction interval",48.8
"Farm-level soybeans",11,"2002","2003","Lower bound of prediction interval",-18.2
"Farm-level soybeans",11,"2002","2003","Mid point of prediction interval",5.7
"Farm-level soybeans",11,"2002","2003","Upper bound of prediction interval",38.1
"Farm-level soybeans",12,"2002","2003","Lower bound of prediction interval",-14.4
"Farm-level soybeans",12,"2002","2003","Mid point of prediction interval",9.1
"Farm-level soybeans",12,"2002","2003","Upper bound of prediction interval",38.8
"Farm-level soybeans",1,"2003","2003","Lower bound of prediction interval",-12.7
"Farm-level soybeans",1,"2003","2003","Mid point of prediction interval",8.9
"Farm-level soybeans",1,"2003","2003","Upper bound of prediction interval",36.8
"Farm-level soybeans",2,"2003","2003","Lower bound of prediction interval",-11.8
"Farm-level soybeans",2,"2003","2003","Mid point of prediction interval",6.4
"Farm-level soybeans",2,"2003","2003","Upper bound of prediction interval",30.7
"Farm-level soybeans",3,"2003","2003","Lower bound of prediction interval",-6.2
