"table_name","year_value","year_unit","year_start_month","month","variable","commodity_element","market_segment","geographic_extent","value","unit"
"Table E-1--Melons: Per capita availability, 1970 to date","1982","Calendar year","January",NA," Per capita availability","Watermelon","All","United States","      12.480000000000000426325641","pounds, farm weight"
"Table E-1--Melons: Per capita availability, 1970 to date","1982","Calendar year","January",NA," Per capita availability","Cantaloupe","All","United States","       7.669999999999999928945726","pounds, farm weight"
"Table E-1--Melons: Per capita availability, 1970 to date","1982","Calendar year","January",NA," Per capita availability","Honeydew","All","United States","       1.800000000000000044408921","pounds, farm weight"
"Table E-1--Melons: Per capita availability, 1970 to date","1982","Calendar year","January",NA," Per capita availability","Other melons","All","United States","       0.299999999999999988897770","pounds, farm weight"
"Table E-1--Melons: Per capita availability, 1970 to date","1982","Calendar year","January",NA," Per capita availability","Melons","All","United States","      22.280000000000001136868377","pounds, farm weight"
"Table E-1--Melons: Per capita availability, 1970 to date","1983","Calendar year","January",NA," Per capita availability","Watermelon","All","United States","      11.310000000000000497379915","pounds, farm weight"
"Table E-1--Melons: Per capita availability, 1970 to date","1983","Calendar year","January",NA," Per capita availability","Cantaloupe","All","United States","       6.540000000000000035527137","pounds, farm weight"
"Table E-1--Melons: Per capita availability, 1970 to date","1983","Calendar year","January",NA," Per capita availability","Honeydew","All","United States","       1.800000000000000044408921","pounds, farm weight"
"Table E-1--Melons: Per capita availability, 1970 to date","1983","Calendar year","January",NA," Per capita availability","Other melons","All","United States","       0.209999999999999992228439","pounds, farm weight"
"Table E-1--Melons: Per capita availability, 1970 to date","1983","Calendar year","January",NA," Per capita availability","Melons","All","United States","      19.829999999999998294697434","pounds, farm weight"
"Table E-1--Melons: Per capita availability, 1970 to date","1984","Calendar year","January",NA," Per capita availability","Watermelon","All","United States","      14.419999999999999928945726","pounds, farm weight"
"Table E-1--Melons: Per capita availability, 1970 to date","1984","Calendar year","January",NA," Per capita availability","Cantaloupe","All","United States","       7.669999999999999928945726","pounds, farm weight"
"Table E-1--Melons: Per capita availability, 1970 to date","1984","Calendar year","January",NA," Per capita availability","Honeydew","All","United States","       1.800000000000000044408921","pounds, farm weight"
"Table E-1--Melons: Per capita availability, 1970 to date","1984","Calendar year","January",NA," Per capita availability","Other melons","All","United States","       0.239999999999999991118216","pounds, farm weight"
"Table E-1--Melons: Per capita availability, 1970 to date","1984","Calendar year","January",NA," Per capita availability","Melons","All","United States","      24.140000000000000568434189","pounds, farm weight"
"Table E-1--Melons: Per capita availability, 1970 to date","1985","Calendar year","January",NA," Per capita availability","Watermelon","All","United States","      13.500000000000000000000000","pounds, farm weight"
"Table E-1--Melons: Per capita availability, 1970 to date","1985","Calendar year","January",NA," Per capita availability","Cantaloupe","All","United States","       8.470000000000000639488462","pounds, farm weight"
"Table E-1--Melons: Per capita availability, 1970 to date","1985","Calendar year","January",NA," Per capita availability","Honeydew","All","United States","       2.100000000000000088817842","pounds, farm weight"
"Table E-1--Melons: Per capita availability, 1970 to date","1985","Calendar year","January",NA," Per capita availability","Other melons","All","United States","       0.220000000000000001110223","pounds, farm weight"
"Table E-1--Melons: Per capita availability, 1970 to date","1985","Calendar year","January",NA," Per capita availability","Melons","All","United States","      24.280000000000001136868377","pounds, farm weight"
"Table E-1--Melons: Per capita availability, 1970 to date","1986","Calendar year","January",NA," Per capita availability","Watermelon","All","United States","      12.750000000000000000000000","pounds, farm weight"
"Table E-1--Melons: Per capita availability, 1970 to date","1986","Calendar year","January",NA," Per capita availability","Cantaloupe","All","United States","       9.429999999999999715782906","pounds, farm weight"
"Table E-1--Melons: Per capita availability, 1970 to date","1986","Calendar year","January",NA," Per capita availability","Honeydew","All","United States","       2.399999999999999911182158","pounds, farm weight"
"Table E-1--Melons: Per capita availability, 1970 to date","1986","Calendar year","January",NA," Per capita availability","Other melons","All","United States","       0.330000000000000015543122","pounds, farm weight"
"Table E-1--Melons: Per capita availability, 1970 to date","1986","Calendar year","January",NA," Per capita availability","Melons","All","United States","      24.949999999999999289457264","pounds, farm weight"
"Table E-1--Melons: Per capita availability, 1970 to date","1987","Calendar year","January",NA," Per capita availability","Watermelon","All","United States","      12.980000000000000426325641","pounds, farm weight"
"Table E-1--Melons: Per capita availability, 1970 to date","1987","Calendar year","January",NA," Per capita availability","Cantaloupe","All","United States","       9.150000000000000355271368","pounds, farm weight"
"Table E-1--Melons: Per capita availability, 1970 to date","1987","Calendar year","January",NA," Per capita availability","Honeydew","All","United States","       2.200000000000000177635684","pounds, farm weight"
"Table E-1--Melons: Per capita availability, 1970 to date","1987","Calendar year","January",NA," Per capita availability","Other melons","All","United States","       0.340000000000000024424907","pounds, farm weight"
"Table E-1--Melons: Per capita availability, 1970 to date","1987","Calendar year","January",NA," Per capita availability","Melons","All","United States","      24.660000000000000142108547","pounds, farm weight"
"Table E-1--Melons: Per capita availability, 1970 to date","1988","Calendar year","January",NA," Per capita availability","Watermelon","All","United States","      13.550000000000000710542736","pounds, farm weight"
"Table E-1--Melons: Per capita availability, 1970 to date","1988","Calendar year","January",NA," Per capita availability","Cantaloupe","All","United States","       7.860000000000000319744231","pounds, farm weight"
"Table E-1--Melons: Per capita availability, 1970 to date","1988","Calendar year","January",NA," Per capita availability","Honeydew","All","United States","       2.399999999999999911182158","pounds, farm weight"
"Table E-1--Melons: Per capita availability, 1970 to date","1988","Calendar year","January",NA," Per capita availability","Other melons","All","United States","       0.289999999999999980015986","pounds, farm weight"
"Table E-1--Melons: Per capita availability, 1970 to date","1988","Calendar year","January",NA," Per capita availability","Melons","All","United States","      24.039999999999999147348717","pounds, farm weight"
"Table E-1--Melons: Per capita availability, 1970 to date","1989","Calendar year","January",NA," Per capita availability","Watermelon","All","United States","      13.619999999999999218402991","pounds, farm weight"
"Table E-1--Melons: Per capita availability, 1970 to date","1989","Calendar year","January",NA," Per capita availability","Cantaloupe","All","United States","      10.359999999999999431565811","pounds, farm weight"
"Table E-1--Melons: Per capita availability, 1970 to date","1989","Calendar year","January",NA," Per capita availability","Honeydew","All","United States","       2.490000000000000213162821","pounds, farm weight"
"Table E-1--Melons: Per capita availability, 1970 to date","1989","Calendar year","January",NA," Per capita availability","Other melons","All","United States","       0.419999999999999984456878","pounds, farm weight"
"Table E-1--Melons: Per capita availability, 1970 to date","1989","Calendar year","January",NA," Per capita availability","Melons","All","United States","      26.899999999999998578914528","pounds, farm weight"
"Table E-1--Melons: Per capita availability, 1970 to date","1990","Calendar year","January",NA," Per capita availability","Watermelon","All","United States","      13.279999999999999360511538","pounds, farm weight"
"Table E-1--Melons: Per capita availability, 1970 to date","1990","Calendar year","January",NA," Per capita availability","Cantaloupe","All","United States","       9.230000000000000426325641","pounds, farm weight"
"Table E-1--Melons: Per capita availability, 1970 to date","1990","Calendar year","January",NA," Per capita availability","Honeydew","All","United States","       2.060000000000000053290705","pounds, farm weight"
"Table E-1--Melons: Per capita availability, 1970 to date","1990","Calendar year","January",NA," Per capita availability","Other melons","All","United States","       0.200000000000000011102230","pounds, farm weight"
"Table E-1--Melons: Per capita availability, 1970 to date","1990","Calendar year","January",NA," Per capita availability","Melons","All","United States","      24.760000000000001563194019","pounds, farm weight"
"Table E-1--Melons: Per capita availability, 1970 to date","1991","Calendar year","January",NA," Per capita availability","Watermelon","All","United States","      12.730000000000000426325641","pounds, farm weight"
"Table E-1--Melons: Per capita availability, 1970 to date","1991","Calendar year","January",NA," Per capita availability","Cantaloupe","All","United States","       8.640000000000000568434189","pounds, farm weight"
"Table E-1--Melons: Per capita availability, 1970 to date","1991","Calendar year","January",NA," Per capita availability","Honeydew","All","United States","       1.899999999999999911182158","pounds, farm weight"
"Table E-1--Melons: Per capita availability, 1970 to date","1991","Calendar year","January",NA," Per capita availability","Other melons","All","United States","       0.340000000000000024424907","pounds, farm weight"
"Table E-1--Melons: Per capita availability, 1970 to date","1991","Calendar year","January",NA," Per capita availability","Melons","All","United States","      23.609999999999999431565811","pounds, farm weight"
"Table E-1--Melons: Per capita availability, 1970 to date","1992","Calendar year","January",NA," Per capita availability","Watermelon","All","United States","      14.699999999999999289457264","pounds, farm weight"
"Table E-1--Melons: Per capita availability, 1970 to date","1992","Calendar year","January",NA," Per capita availability","Cantaloupe","All","United States","       8.470000000000000639488462","pounds, farm weight"
"Table E-1--Melons: Per capita availability, 1970 to date","1992","Calendar year","January",NA," Per capita availability","Honeydew","All","United States","       2.100000000000000088817842","pounds, farm weight"
"Table E-1--Melons: Per capita availability, 1970 to date","1992","Calendar year","January",NA," Per capita availability","Other melons","All","United States","       0.270000000000000017763568","pounds, farm weight"
"Table E-1--Melons: Per capita availability, 1970 to date","1992","Calendar year","January",NA," Per capita availability","Melons","All","United States","      25.550000000000000710542736","pounds, farm weight"
"Table E-1--Melons: Per capita availability, 1970 to date","1993","Calendar year","January",NA," Per capita availability","Watermelon","All","United States","      14.189999999999999502620085","pounds, farm weight"
"Table E-1--Melons: Per capita availability, 1970 to date","1993","Calendar year","January",NA," Per capita availability","Cantaloupe","All","United States","       8.609999999999999431565811","pounds, farm weight"
"Table E-1--Melons: Per capita availability, 1970 to date","1993","Calendar year","January",NA," Per capita availability","Honeydew","All","United States","       1.739999999999999991118216","pounds, farm weight"
"Table E-1--Melons: Per capita availability, 1970 to date","1993","Calendar year","January",NA," Per capita availability","Other melons","All","United States","       0.340000000000000024424907","pounds, farm weight"
"Table E-1--Melons: Per capita availability, 1970 to date","1993","Calendar year","January",NA," Per capita availability","Melons","All","United States","      24.870000000000000994759830","pounds, farm weight"
"Table E-1--Melons: Per capita availability, 1970 to date","1994","Calendar year","January",NA," Per capita availability","Watermelon","All","United States","      15.000000000000000000000000","pounds, farm weight"
"Table E-1--Melons: Per capita availability, 1970 to date","1994","Calendar year","January",NA," Per capita availability","Cantaloupe","All","United States","       8.380000000000000781597009","pounds, farm weight"
"Table E-1--Melons: Per capita availability, 1970 to date","1994","Calendar year","January",NA," Per capita availability","Honeydew","All","United States","       2.000000000000000000000000","pounds, farm weight"
"Table E-1--Melons: Per capita availability, 1970 to date","1994","Calendar year","January",NA," Per capita availability","Other melons","All","United States","       0.260000000000000008881784","pounds, farm weight"
"Table E-1--Melons: Per capita availability, 1970 to date","1994","Calendar year","January",NA," Per capita availability","Melons","All","United States","      25.640000000000000568434189","pounds, farm weight"
"Table E-1--Melons: Per capita availability, 1970 to date","1995","Calendar year","January",NA," Per capita availability","Watermelon","All","United States","      15.155196738408667656017315","pounds, farm weight"
"Table E-1--Melons: Per capita availability, 1970 to date","1995","Calendar year","January",NA," Per capita availability","Cantaloupe","All","United States","       8.970779232959554150284021","pounds, farm weight"
"Table E-1--Melons: Per capita availability, 1970 to date","1995","Calendar year","January",NA," Per capita availability","Honeydew","All","United States","       1.894162134365257488255452","pounds, farm weight"
"Table E-1--Melons: Per capita availability, 1970 to date","1995","Calendar year","January",NA," Per capita availability","Other melons","All","United States","       0.330315193185704458755936","pounds, farm weight"
"Table E-1--Melons: Per capita availability, 1970 to date","1995","Calendar year","January",NA," Per capita availability","Melons","All","United States","      26.350453298919180866732859","pounds, farm weight"
"Table E-1--Melons: Per capita availability, 1970 to date","1996","Calendar year","January",NA," Per capita availability","Watermelon","All","United States","      16.584940259653574656795172","pounds, farm weight"
"Table E-1--Melons: Per capita availability, 1970 to date","1996","Calendar year","January",NA," Per capita availability","Cantaloupe","All","United States","      10.276318570681619135598339","pounds, farm weight"
"Table E-1--Melons: Per capita availability, 1970 to date","1996","Calendar year","January",NA," Per capita availability","Honeydew","All","United States","       2.042960484041428603774193","pounds, farm weight"
"Table E-1--Melons: Per capita availability, 1970 to date","1996","Calendar year","January",NA," Per capita availability","Other melons","All","United States","       0.352909329469305532711587","pounds, farm weight"
"Table E-1--Melons: Per capita availability, 1970 to date","1996","Calendar year","January",NA," Per capita availability","Melons","All","United States","      29.257128643845931037503760","pounds, farm weight"
"Table E-1--Melons: Per capita availability, 1970 to date","1997","Calendar year","January",NA," Per capita availability","Watermelon","All","United States","      15.490785645189658836784474","pounds, farm weight"
"Table E-1--Melons: Per capita availability, 1970 to date","1997","Calendar year","January",NA," Per capita availability","Cantaloupe","All","United States","      10.520720964999707547349317","pounds, farm weight"
"Table E-1--Melons: Per capita availability, 1970 to date","1997","Calendar year","January",NA," Per capita availability","Honeydew","All","United States","       2.219894676305915304226346","pounds, farm weight"
"Table E-1--Melons: Per capita availability, 1970 to date","1997","Calendar year","January",NA," Per capita availability","Other melons","All","United States","       0.554820425998126864897131","pounds, farm weight"
"Table E-1--Melons: Per capita availability, 1970 to date","1997","Calendar year","January",NA," Per capita availability","Melons","All","United States","      28.786221712493407665078848","pounds, farm weight"
"Table E-1--Melons: Per capita availability, 1970 to date","1998","Calendar year","January",NA," Per capita availability","Watermelon","All","United States","      14.341537830251887442045700","pounds, farm weight"
"Table E-1--Melons: Per capita availability, 1970 to date","1998","Calendar year","January",NA," Per capita availability","Cantaloupe","All","United States","      10.642561975988265032810887","pounds, farm weight"
"Table E-1--Melons: Per capita availability, 1970 to date","1998","Calendar year","January",NA," Per capita availability","Honeydew","All","United States","       2.341468253445122105205201","pounds, farm weight"
"Table E-1--Melons: Per capita availability, 1970 to date","1998","Calendar year","January",NA," Per capita availability","Other melons","All","United States","       0.671082611230833236959370","pounds, farm weight"
"Table E-1--Melons: Per capita availability, 1970 to date","1998","Calendar year","January",NA," Per capita availability","Melons","All","United States","      27.996650670916107372931947","pounds, farm weight"
"Table E-1--Melons: Per capita availability, 1970 to date","1999","Calendar year","January",NA," Per capita availability","Watermelon","All","United States","      15.210585316600727878721955","pounds, farm weight"
"Table E-1--Melons: Per capita availability, 1970 to date","1999","Calendar year","January",NA," Per capita availability","Cantaloupe","All","United States","      11.375660144291876108013639","pounds, farm weight"
"Table E-1--Melons: Per capita availability, 1970 to date","1999","Calendar year","January",NA," Per capita availability","Honeydew","All","United States","       2.449966005513882993938068","pounds, farm weight"
"Table E-1--Melons: Per capita availability, 1970 to date","1999","Calendar year","January",NA," Per capita availability","Other melons","All","United States","       0.640811895988107949051482","pounds, farm weight"
"Table E-1--Melons: Per capita availability, 1970 to date","1999","Calendar year","January",NA," Per capita availability","Melons","All","United States","      29.677023362394596261992774","pounds, farm weight"
"Table E-1--Melons: Per capita availability, 1970 to date","2000","Calendar year","January",NA," Per capita availability","Watermelon","All","United States","      13.818339821594863181530854","pounds, farm weight"
"Table E-1--Melons: Per capita availability, 1970 to date","2000","Calendar year","January",NA," Per capita availability","Cantaloupe","All","United States","      11.123271208765265427587110","pounds, farm weight"
"Table E-1--Melons: Per capita availability, 1970 to date","2000","Calendar year","January",NA," Per capita availability","Honeydew","All","United States","       2.262659711881788382470404","pounds, farm weight"
"Table E-1--Melons: Per capita availability, 1970 to date","2000","Calendar year","January",NA," Per capita availability","Other melons","All","United States","       0.595316288323239461988123","pounds, farm weight"
"Table E-1--Melons: Per capita availability, 1970 to date","2000","Calendar year","January",NA," Per capita availability","Melons","All","United States","      27.799587030565156453576492","pounds, farm weight"
"Table E-1--Melons: Per capita availability, 1970 to date","2001","Calendar year","January",NA," Per capita availability","Watermelon","All","United States","      15.007957631370921092184290","pounds, farm weight"
"Table E-1--Melons: Per capita availability, 1970 to date","2001","Calendar year","January",NA," Per capita availability","Cantaloupe","All","United States","      11.164763484185547426363883","pounds, farm weight"
"Table E-1--Melons: Per capita availability, 1970 to date","2001","Calendar year","January",NA," Per capita availability","Honeydew","All","United States","       1.974233514351328766522897","pounds, farm weight"
"Table E-1--Melons: Per capita availability, 1970 to date","2001","Calendar year","January",NA," Per capita availability","Other melons","All","United States","       0.509594604520710703354780","pounds, farm weight"
"Table E-1--Melons: Per capita availability, 1970 to date","2001","Calendar year","January",NA," Per capita availability","Melons","All","United States","      28.656549234428510430916504","pounds, farm weight"
"Table E-1--Melons: Per capita availability, 1970 to date","2002","Calendar year","January",NA," Per capita availability","Watermelon","All","United States","      14.041263180124950338267809","pounds, farm weight"
"Table E-1--Melons: Per capita availability, 1970 to date","2002","Calendar year","January",NA," Per capita availability","Cantaloupe","All","United States","      11.095893656488589940067868","pounds, farm weight"
"Table E-1--Melons: Per capita availability, 1970 to date","2002","Calendar year","January",NA," Per capita availability","Honeydew","All","United States","       2.188841022436493588543271","pounds, farm weight"
"Table E-1--Melons: Per capita availability, 1970 to date","2002","Calendar year","January",NA," Per capita availability","Other melons","All","United States","       0.553347879624837446499441","pounds, farm weight"
"Table E-1--Melons: Per capita availability, 1970 to date","2002","Calendar year","January",NA," Per capita availability","Melons","All","United States","      27.879345738674871313378389","pounds, farm weight"
"Table E-1--Melons: Per capita availability, 1970 to date","2003","Calendar year","January",NA," Per capita availability","Watermelon","All","United States","      13.542037003595156718915860","pounds, farm weight"
"Table E-1--Melons: Per capita availability, 1970 to date","2003","Calendar year","January",NA," Per capita availability","Cantaloupe","All","United States","      10.793113117149443880293802","pounds, farm weight"
"Table E-1--Melons: Per capita availability, 1970 to date","2003","Calendar year","January",NA," Per capita availability","Honeydew","All","United States","       2.181623100316535168730070","pounds, farm weight"
"Table E-1--Melons: Per capita availability, 1970 to date","2003","Calendar year","January",NA," Per capita availability","Other melons","All","United States","       0.558251740974270660444745","pounds, farm weight"
"Table E-1--Melons: Per capita availability, 1970 to date","2003","Calendar year","January",NA," Per capita availability","Melons","All","United States","      27.075024962035406872473686","pounds, farm weight"
"Table E-1--Melons: Per capita availability, 1970 to date","2004","Calendar year","January",NA," Per capita availability","Watermelon","All","United States","      12.985880538984813981073785","pounds, farm weight"
"Table E-1--Melons: Per capita availability, 1970 to date","2004","Calendar year","January",NA," Per capita availability","Cantaloupe","All","United States","       9.813481853473376759211533","pounds, farm weight"
"Table E-1--Melons: Per capita availability, 1970 to date","2004","Calendar year","January",NA," Per capita availability","Honeydew","All","United States","       2.047352512036561211772323","pounds, farm weight"
"Table E-1--Melons: Per capita availability, 1970 to date","2004","Calendar year","January",NA," Per capita availability","Other melons","All","United States","       0.534207135181194558981588","pounds, farm weight"
"Table E-1--Melons: Per capita availability, 1970 to date","2004","Calendar year","January",NA," Per capita availability","Melons","All","United States","      25.380922039675947843306858","pounds, farm weight"
"Table E-1--Melons: Per capita availability, 1970 to date","2005","Calendar year","January",NA," Per capita availability","Watermelon","All","United States","      13.546247152163219951148676","pounds, farm weight"
