"table_name","year_value","year_unit","year_start_month","month","variable","commodity_element","market_segment","geographic_extent","value","unit"
"Table D-1--Blackberries: Area bearing, yield, production, and season-average grower price, Oregon, 1980 to 2017","1988","Calendar year","January",NA,"Utilized production","Blackberries","Fresh","Oregon","    1100.000000000000000000000000","thousand pounds"
"Table D-1--Blackberries: Area bearing, yield, production, and season-average grower price, Oregon, 1980 to 2017","1988","Calendar year","January",NA,"Utilized production","Blackberries","Processed","Oregon","   32850.000000000000000000000000","thousand pounds"
"Table D-1--Blackberries: Area bearing, yield, production, and season-average grower price, Oregon, 1980 to 2017","1988","Calendar year","January",NA,"Price received by growers","Blackberries","Fresh","Oregon","      58.100000000000001421085472","cents per pound"
"Table D-1--Blackberries: Area bearing, yield, production, and season-average grower price, Oregon, 1980 to 2017","1988","Calendar year","January",NA,"Price received by growers","Blackberries","Processed","Oregon","      30.000000000000000000000000","cents per pound"
"Table D-1--Blackberries: Area bearing, yield, production, and season-average grower price, Oregon, 1980 to 2017","1988","Calendar year","January",NA,"Price received by growers","Blackberries","All","Oregon","      30.899999999999998578914528","cents per pound"
"Table D-1--Blackberries: Area bearing, yield, production, and season-average grower price, Oregon, 1980 to 2017","1988","Calendar year","January",NA,"Value of utilized production","Blackberries","All","Oregon","   10498.000000000000000000000000","thousand dollars"
"Table D-1--Blackberries: Area bearing, yield, production, and season-average grower price, Oregon, 1980 to 2017","1989","Calendar year","January",NA,"Area bearing","Blackberries","All","Oregon","    4200.000000000000000000000000","acres"
"Table D-1--Blackberries: Area bearing, yield, production, and season-average grower price, Oregon, 1980 to 2017","1989","Calendar year","January",NA,"Yield","Blackberries","All","Oregon","    5520.000000000000000000000000","pounds per acre"
"Table D-1--Blackberries: Area bearing, yield, production, and season-average grower price, Oregon, 1980 to 2017","1989","Calendar year","January",NA,"Utilized production","Blackberries","All","Oregon","   23200.000000000000000000000000","thousand pounds"
"Table D-1--Blackberries: Area bearing, yield, production, and season-average grower price, Oregon, 1980 to 2017","1989","Calendar year","January",NA,"Utilized production","Blackberries","Fresh","Oregon","     700.000000000000000000000000","thousand pounds"
"Table D-1--Blackberries: Area bearing, yield, production, and season-average grower price, Oregon, 1980 to 2017","1989","Calendar year","January",NA,"Utilized production","Blackberries","Processed","Oregon","   22500.000000000000000000000000","thousand pounds"
"Table D-1--Blackberries: Area bearing, yield, production, and season-average grower price, Oregon, 1980 to 2017","1989","Calendar year","January",NA,"Price received by growers","Blackberries","Fresh","Oregon","      57.700000000000002842170943","cents per pound"
"Table D-1--Blackberries: Area bearing, yield, production, and season-average grower price, Oregon, 1980 to 2017","1989","Calendar year","January",NA,"Price received by growers","Blackberries","Processed","Oregon","      37.100000000000001421085472","cents per pound"
"Table D-1--Blackberries: Area bearing, yield, production, and season-average grower price, Oregon, 1980 to 2017","1989","Calendar year","January",NA,"Price received by growers","Blackberries","All","Oregon","      37.700000000000002842170943","cents per pound"
"Table D-1--Blackberries: Area bearing, yield, production, and season-average grower price, Oregon, 1980 to 2017","1989","Calendar year","January",NA,"Value of utilized production","Blackberries","All","Oregon","    8748.000000000000000000000000","thousand dollars"
"Table D-1--Blackberries: Area bearing, yield, production, and season-average grower price, Oregon, 1980 to 2017","1990","Calendar year","January",NA,"Area bearing","Blackberries","All","Oregon","    4150.000000000000000000000000","acres"
"Table D-1--Blackberries: Area bearing, yield, production, and season-average grower price, Oregon, 1980 to 2017","1990","Calendar year","January",NA,"Yield","Blackberries","All","Oregon","    7730.000000000000000000000000","pounds per acre"
"Table D-1--Blackberries: Area bearing, yield, production, and season-average grower price, Oregon, 1980 to 2017","1990","Calendar year","January",NA,"Utilized production","Blackberries","All","Oregon","   32100.000000000000000000000000","thousand pounds"
"Table D-1--Blackberries: Area bearing, yield, production, and season-average grower price, Oregon, 1980 to 2017","1990","Calendar year","January",NA,"Utilized production","Blackberries","Fresh","Oregon","     900.000000000000000000000000","thousand pounds"
"Table D-1--Blackberries: Area bearing, yield, production, and season-average grower price, Oregon, 1980 to 2017","1990","Calendar year","January",NA,"Utilized production","Blackberries","Processed","Oregon","   31200.000000000000000000000000","thousand pounds"
"Table D-1--Blackberries: Area bearing, yield, production, and season-average grower price, Oregon, 1980 to 2017","1990","Calendar year","January",NA,"Price received by growers","Blackberries","Fresh","Oregon","      92.599999999999994315658114","cents per pound"
"Table D-1--Blackberries: Area bearing, yield, production, and season-average grower price, Oregon, 1980 to 2017","1990","Calendar year","January",NA,"Price received by growers","Blackberries","Processed","Oregon","      37.399999999999998578914528","cents per pound"
"Table D-1--Blackberries: Area bearing, yield, production, and season-average grower price, Oregon, 1980 to 2017","1990","Calendar year","January",NA,"Price received by growers","Blackberries","All","Oregon","      39.000000000000000000000000","cents per pound"
"Table D-1--Blackberries: Area bearing, yield, production, and season-average grower price, Oregon, 1980 to 2017","1990","Calendar year","January",NA,"Value of utilized production","Blackberries","All","Oregon","   12512.000000000000000000000000","thousand dollars"
"Table D-1--Blackberries: Area bearing, yield, production, and season-average grower price, Oregon, 1980 to 2017","1991","Calendar year","January",NA,"Area bearing","Blackberries","All","Oregon","    3050.000000000000000000000000","acres"
"Table D-1--Blackberries: Area bearing, yield, production, and season-average grower price, Oregon, 1980 to 2017","1991","Calendar year","January",NA,"Yield","Blackberries","All","Oregon","    5510.000000000000000000000000","pounds per acre"
"Table D-1--Blackberries: Area bearing, yield, production, and season-average grower price, Oregon, 1980 to 2017","1991","Calendar year","January",NA,"Utilized production","Blackberries","All","Oregon","   16800.000000000000000000000000","thousand pounds"
"Table D-1--Blackberries: Area bearing, yield, production, and season-average grower price, Oregon, 1980 to 2017","1991","Calendar year","January",NA,"Utilized production","Blackberries","Fresh","Oregon","     700.000000000000000000000000","thousand pounds"
"Table D-1--Blackberries: Area bearing, yield, production, and season-average grower price, Oregon, 1980 to 2017","1991","Calendar year","January",NA,"Utilized production","Blackberries","Processed","Oregon","   16100.000000000000000000000000","thousand pounds"
"Table D-1--Blackberries: Area bearing, yield, production, and season-average grower price, Oregon, 1980 to 2017","1991","Calendar year","January",NA,"Price received by growers","Blackberries","Fresh","Oregon","     146.000000000000000000000000","cents per pound"
"Table D-1--Blackberries: Area bearing, yield, production, and season-average grower price, Oregon, 1980 to 2017","1991","Calendar year","January",NA,"Price received by growers","Blackberries","Processed","Oregon","      83.200000000000002842170943","cents per pound"
"Table D-1--Blackberries: Area bearing, yield, production, and season-average grower price, Oregon, 1980 to 2017","1991","Calendar year","January",NA,"Price received by growers","Blackberries","All","Oregon","      85.799999999999997157829057","cents per pound"
"Table D-1--Blackberries: Area bearing, yield, production, and season-average grower price, Oregon, 1980 to 2017","1991","Calendar year","January",NA,"Value of utilized production","Blackberries","All","Oregon","   14413.000000000000000000000000","thousand dollars"
"Table D-1--Blackberries: Area bearing, yield, production, and season-average grower price, Oregon, 1980 to 2017","1992","Calendar year","January",NA,"Area bearing","Blackberries","All","Oregon","    4700.000000000000000000000000","acres"
"Table D-1--Blackberries: Area bearing, yield, production, and season-average grower price, Oregon, 1980 to 2017","1992","Calendar year","January",NA,"Yield","Blackberries","All","Oregon","    9110.000000000000000000000000","pounds per acre"
"Table D-1--Blackberries: Area bearing, yield, production, and season-average grower price, Oregon, 1980 to 2017","1992","Calendar year","January",NA,"Utilized production","Blackberries","All","Oregon","   42800.000000000000000000000000","thousand pounds"
"Table D-1--Blackberries: Area bearing, yield, production, and season-average grower price, Oregon, 1980 to 2017","1992","Calendar year","January",NA,"Utilized production","Blackberries","Fresh","Oregon","    1100.000000000000000000000000","thousand pounds"
"Table D-1--Blackberries: Area bearing, yield, production, and season-average grower price, Oregon, 1980 to 2017","1992","Calendar year","January",NA,"Utilized production","Blackberries","Processed","Oregon","   41700.000000000000000000000000","thousand pounds"
"Table D-1--Blackberries: Area bearing, yield, production, and season-average grower price, Oregon, 1980 to 2017","1992","Calendar year","January",NA,"Price received by growers","Blackberries","Fresh","Oregon","      88.700000000000002842170943","cents per pound"
"Table D-1--Blackberries: Area bearing, yield, production, and season-average grower price, Oregon, 1980 to 2017","1992","Calendar year","January",NA,"Price received by growers","Blackberries","Processed","Oregon","      43.899999999999998578914528","cents per pound"
"Table D-1--Blackberries: Area bearing, yield, production, and season-average grower price, Oregon, 1980 to 2017","1992","Calendar year","January",NA,"Price received by growers","Blackberries","All","Oregon","      45.100000000000001421085472","cents per pound"
"Table D-1--Blackberries: Area bearing, yield, production, and season-average grower price, Oregon, 1980 to 2017","1992","Calendar year","January",NA,"Value of utilized production","Blackberries","All","Oregon","   19284.000000000000000000000000","thousand dollars"
"Table D-1--Blackberries: Area bearing, yield, production, and season-average grower price, Oregon, 1980 to 2017","1993","Calendar year","January",NA,"Area bearing","Blackberries","All","Oregon","    4700.000000000000000000000000","acres"
"Table D-1--Blackberries: Area bearing, yield, production, and season-average grower price, Oregon, 1980 to 2017","1993","Calendar year","January",NA,"Yield","Blackberries","All","Oregon","    6470.000000000000000000000000","pounds per acre"
"Table D-1--Blackberries: Area bearing, yield, production, and season-average grower price, Oregon, 1980 to 2017","1993","Calendar year","January",NA,"Utilized production","Blackberries","All","Oregon","   30400.000000000000000000000000","thousand pounds"
"Table D-1--Blackberries: Area bearing, yield, production, and season-average grower price, Oregon, 1980 to 2017","1993","Calendar year","January",NA,"Utilized production","Blackberries","Fresh","Oregon","    1200.000000000000000000000000","thousand pounds"
"Table D-1--Blackberries: Area bearing, yield, production, and season-average grower price, Oregon, 1980 to 2017","1993","Calendar year","January",NA,"Utilized production","Blackberries","Processed","Oregon","   29200.000000000000000000000000","thousand pounds"
"Table D-1--Blackberries: Area bearing, yield, production, and season-average grower price, Oregon, 1980 to 2017","1993","Calendar year","January",NA,"Price received by growers","Blackberries","Fresh","Oregon","      86.500000000000000000000000","cents per pound"
"Table D-1--Blackberries: Area bearing, yield, production, and season-average grower price, Oregon, 1980 to 2017","1993","Calendar year","January",NA,"Price received by growers","Blackberries","Processed","Oregon","      29.100000000000001421085472","cents per pound"
"Table D-1--Blackberries: Area bearing, yield, production, and season-average grower price, Oregon, 1980 to 2017","1993","Calendar year","January",NA,"Price received by growers","Blackberries","All","Oregon","      31.399999999999998578914528","cents per pound"
"Table D-1--Blackberries: Area bearing, yield, production, and season-average grower price, Oregon, 1980 to 2017","1993","Calendar year","January",NA,"Value of utilized production","Blackberries","All","Oregon","    9535.000000000000000000000000","thousand dollars"
"Table D-1--Blackberries: Area bearing, yield, production, and season-average grower price, Oregon, 1980 to 2017","1994","Calendar year","January",NA,"Area bearing","Blackberries","All","Oregon","    5040.000000000000000000000000","acres"
"Table D-1--Blackberries: Area bearing, yield, production, and season-average grower price, Oregon, 1980 to 2017","1994","Calendar year","January",NA,"Yield","Blackberries","All","Oregon","    7480.000000000000000000000000","pounds per acre"
"Table D-1--Blackberries: Area bearing, yield, production, and season-average grower price, Oregon, 1980 to 2017","1994","Calendar year","January",NA,"Utilized production","Blackberries","All","Oregon","   37700.000000000000000000000000","thousand pounds"
"Table D-1--Blackberries: Area bearing, yield, production, and season-average grower price, Oregon, 1980 to 2017","1994","Calendar year","January",NA,"Utilized production","Blackberries","Fresh","Oregon","    1200.000000000000000000000000","thousand pounds"
"Table D-1--Blackberries: Area bearing, yield, production, and season-average grower price, Oregon, 1980 to 2017","1994","Calendar year","January",NA,"Utilized production","Blackberries","Processed","Oregon","   36500.000000000000000000000000","thousand pounds"
"Table D-1--Blackberries: Area bearing, yield, production, and season-average grower price, Oregon, 1980 to 2017","1994","Calendar year","January",NA,"Price received by growers","Blackberries","Fresh","Oregon","      95.000000000000000000000000","cents per pound"
"Table D-1--Blackberries: Area bearing, yield, production, and season-average grower price, Oregon, 1980 to 2017","1994","Calendar year","January",NA,"Price received by growers","Blackberries","Processed","Oregon","      35.799999999999997157829057","cents per pound"
"Table D-1--Blackberries: Area bearing, yield, production, and season-average grower price, Oregon, 1980 to 2017","1994","Calendar year","January",NA,"Price received by growers","Blackberries","All","Oregon","      37.700000000000002842170943","cents per pound"
"Table D-1--Blackberries: Area bearing, yield, production, and season-average grower price, Oregon, 1980 to 2017","1994","Calendar year","January",NA,"Value of utilized production","Blackberries","All","Oregon","   14207.000000000000000000000000","thousand dollars"
"Table D-1--Blackberries: Area bearing, yield, production, and season-average grower price, Oregon, 1980 to 2017","1995","Calendar year","January",NA,"Area bearing","Blackberries","All","Oregon","    4900.000000000000000000000000","acres"
"Table D-1--Blackberries: Area bearing, yield, production, and season-average grower price, Oregon, 1980 to 2017","1995","Calendar year","January",NA,"Yield","Blackberries","All","Oregon","    7650.000000000000000000000000","pounds per acre"
